Job Title,Job description Link,badge,Company name,Company Profile Link,Deadline ,Location,Job Type,Salary Amount
Officer (Counselor),https://skill.jobs/jobs/officer-counselor-vaRAERYX,Beginner,Daffodil Institute of IT (DIIT),https://skill.jobs/company-profile/none-xKgVjoF9,Mon Mar 20 2023,"Tower-05, Shobhanbag, 4/2 Mirpur Rd, Dhanmonddi,  Dhaka 1207 Permanent",Full Time,Negotiable
Analyst - Sales & Marketing,https://skill.jobs/jobs/analyst-sales-marketing-EijlkBnz,Experienced,Rupayan City Uttara,https://skill.jobs/company-profile/none-ULjXva31,Tue Apr 11 2023,Dhaka (Uttara),Full Time,Negotiable
Deputy Manager/ Manager - Supply Chain Management,https://skill.jobs/jobs/deputy-manager-manager-supply-chain-management-7MYyNPkp,Top Level,Rupayan City Uttara,https://skill.jobs/company-profile/none-ULjXva31,Wed Apr 12 2023,Dhaka (Uttara),Full Time,Negotiable
Sr. Executive/Asst. Manager (Overseas Sales),https://skill.jobs/jobs/sr-executiveasst-manager-overseas-sales-kmYjGY5V,Experienced,Rupayan City Uttara,https://skill.jobs/company-profile/none-ULjXva31,Tue Apr 11 2023,Dhaka (Uttara),Full Time,Negotiable
Assistant Manager-ICMD & Store,https://skill.jobs/jobs/assistant-manager-icmd-store-ubcud6Gw,Experienced,Rupayan City Uttara,https://skill.jobs/company-profile/none-ULjXva31,Tue Apr 11 2023,Dhaka (Uttara),Full Time,Negotiable
"Section Head - Safety & Security, BOGCL",https://skill.jobs/jobs/section-head-safety-security-bogcl-xh1nzz2v,Experienced,Bashundhara Group,https://skill.jobs/company-profile/none-r1cLx7jb,Tue Mar 21 2023,Dhaka (South Keraniganj),Full Time,Negotiable
Assistant Purchase Officer (Light & Heavy),https://skill.jobs/jobs/assistant-purchase-officer-light-heavy-KyKhre61,Mid Level,Bashundhara Group,https://skill.jobs/company-profile/none-r1cLx7jb,Fri Mar 31 2023,Anywhere,Full Time,Negotiable
"Asst. Executive (Operation), Bashundhara Airways Ltd.",https://skill.jobs/jobs/asst-executive-operation-bashundhara-airways-ltd-iNGRKOm3,Mid Level,Bashundhara Group,https://skill.jobs/company-profile/none-r1cLx7jb,Thu Mar 30 2023,Dhaka,Full Time,Negotiable
Team Member (Waiter/ Waitress),https://skill.jobs/jobs/team-member-waiter-waitress-Xxq9cFB1,Beginner,Bashundhara Group,https://skill.jobs/company-profile/none-r1cLx7jb,Wed Mar 15 2023,Dhaka,Full Time,Negotiable
"Officer, Merchant Management",https://skill.jobs/jobs/officer-merchant-management-VbCUVihD,Mid Level,bKash Ltd.,https://skill.jobs/company-profile/none-fsAu3ePb,Thu Mar 30 2023,Dhaka,Full Time,Negotiable
"Team Lead, Payroll Business",https://skill.jobs/jobs/team-lead-payroll-business-BrLvypNK,Experienced,bKash Ltd.,https://skill.jobs/company-profile/none-fsAu3ePb,Thu Mar 30 2023,Dhaka,Full Time,Negotiable
"Senior Officer, Strategy and Business Development",https://skill.jobs/jobs/senior-officer-strategy-and-business-development-ksInbRD5,Beginner,bKash Ltd.,https://skill.jobs/company-profile/none-fsAu3ePb,Thu Mar 30 2023,Dhaka,Full Time,Negotiable
Territory Officer/ Senior Territory Officer,https://skill.jobs/jobs/territory-officer-senior-territory-officer-oARp4r7k,Mid Level,DBL Pharma,https://skill.jobs/company-profile/none-YiqzUaMe,Sun Mar 19 2023,Anywhere,Full Time,Negotiable
Lead Angular / React Developer,https://skill.jobs/jobs/lead-angular-react-developer-mx1dM6yJ,Beginner,SoftLab It,https://skill.jobs/company-profile/none-OTwNrZyG,Tue Mar 21 2023,Dhaka,Full Time,30000 - 50000
Senior Executive (Accounts & Finance),https://skill.jobs/jobs/senior-executive-accounts-finance-YJIwO5jD,Mid Level,Sakura Power Ltd.,https://skill.jobs/company-profile/none-QfoTxijK,Tue Mar 28 2023,Dhaka,Full Time,Negotiable
Generator Technician,https://skill.jobs/jobs/generator-technician-BGTSsYCq,Beginner,Sakura Power Ltd.,https://skill.jobs/company-profile/none-QfoTxijK,Sat Mar 25 2023,Anywhere,Full Time,Negotiable
Graphic Designer,https://skill.jobs/jobs/graphic-designer-wUh6SZC1,Beginner,Sakura Power Ltd.,https://skill.jobs/company-profile/none-QfoTxijK,Fri Mar 31 2023,Dhaka,Full Time,Negotiable
Assistant Manager - Commercial,https://skill.jobs/jobs/assistant-manager-commercial-MtqAsuz6,Beginner,Gprojukti.com Ltd,https://skill.jobs/company-profile/none-7PnHRavL,Wed Apr 12 2023,Dhaka (Banani),Full Time,35000 - 40000
General Manager - Finance & Banking,https://skill.jobs/jobs/general-manager-finance-banking-SpDymfHD,Beginner,Gprojukti.com Ltd,https://skill.jobs/company-profile/none-7PnHRavL,Wed Apr 12 2023,Dhaka,Full Time,150000 - 200000
Sales Executive (EPZ & Laksham Retail Shop),https://skill.jobs/jobs/sales-executive-epz-laksham-retail-shop-860smIXv,Mid Level,Gprojukti.com Ltd,https://skill.jobs/company-profile/none-7PnHRavL,Tue Mar 14 2023,"Cumilla, Cumilla (Laksam)",Full Time,10000 - 12000
Admin Officer,https://skill.jobs/jobs/admin-officer-I43D6h78,Mid Level,BZM Graphics,https://skill.jobs/company-profile/bzm-graphics-LJLNF6Ck,Fri Jun 30 2023,Dhaka (Mohammadpur),Full Time,18000 - 20000
Assistant Manager/ Deputy Manager - Land Development,https://skill.jobs/jobs/assistant-manager-deputy-manager-land-development-a07bRa1D,Experienced,Navana Real Estate Limited,https://skill.jobs/company-profile/none-hAnLzqiZ,Tue Mar 28 2023,Dhaka,Full Time,Negotiable
Assistant Project Engineer / Deputy Project Engineer,https://skill.jobs/jobs/assistant-project-engineer-deputy-project-engineer-TUkGMt8E,Mid Level,Navana Real Estate Limited,https://skill.jobs/company-profile/none-hAnLzqiZ,Wed Mar 22 2023,Dhaka,Full Time,Negotiable
Coordinator - Maternal and Newborn Health (MNH),https://skill.jobs/jobs/coordinator-maternal-and-newborn-health-mnh-JIlyKFBM,Experienced,Save the Children,https://skill.jobs/company-profile/none-tatfDhS2,Mon Mar 20 2023,Rangpur,Full Time,Negotiable
Technical Specialist - Digital Communication,https://skill.jobs/jobs/technical-specialist-digital-communication-zxTHOsPI,Mid Level,Save the Children,https://skill.jobs/company-profile/none-tatfDhS2,Sun Mar 19 2023,Dhaka,Contractual,Negotiable
Technical Specialist - CSS (Community System Strengthening),https://skill.jobs/jobs/technical-specialist-css-community-system-strengthening-ZMyzLDjk,Mid Level,Save the Children,https://skill.jobs/company-profile/none-tatfDhS2,Sun Mar 19 2023,Dhaka,Contractual,Negotiable
Manager - Virtual Outreach,https://skill.jobs/jobs/manager-virtual-outreach-1B45gfJc,Experienced,Save the Children,https://skill.jobs/company-profile/none-tatfDhS2,Sun Mar 19 2023,Dhaka,Contractual,Negotiable
Medical Specialist/Scribe (Documentation Specialist),https://skill.jobs/jobs/medical-specialistscribe-documentation-specialist-ywSpH4l3,Beginner,Ikigai HR Services Limited,https://skill.jobs/company-profile/none-NTOt7omD,Mon Mar 20 2023,Dhaka,Full Time,40000 - 50000
Assistant - Call Centre,https://skill.jobs/jobs/assistant-call-centre-1yDpsfRi,Beginner,Save the Children,https://skill.jobs/company-profile/none-tatfDhS2,Sun Mar 19 2023,Dhaka,Contractual,Negotiable
Specialist - Program,https://skill.jobs/jobs/specialist-program-RVl2poad,Beginner,Save the Children,https://skill.jobs/company-profile/none-tatfDhS2,Sat Mar 18 2023,Dhaka,Contractual,Negotiable
Admission Counselor,https://skill.jobs/jobs/admission-counselor-AgXvffRs,Beginner,Waheads Institute of Professional Studies,https://skill.jobs/company-profile/none-sVyLScbJ,Sun Mar 19 2023,Dhaka,Full Time,Negotiable
Admin Officer,https://skill.jobs/jobs/admin-officer-JrP83Z06,Mid Level,Al - Muslim Group,https://skill.jobs/company-profile/none-ADXxQNoL,Mon Apr 10 2023,Dhaka (Savar),Full Time,Negotiable
Sr. Officer/ Asst. Manager (Accounts & Finance/ Internal Audit),https://skill.jobs/jobs/sr-officer-asst-manager-accounts-finance-internal-audit-iQKFKmDB,Beginner,Al - Muslim Group,https://skill.jobs/company-profile/none-ADXxQNoL,Wed Mar 15 2023,Dhaka (Savar),Full Time,Negotiable
Lecturer of Textile Engineering,https://skill.jobs/jobs/lecturer-of-textile-engineering-ClSiG1yN,Mid Level,World University of Bangladesh,https://skill.jobs/company-profile/none-uSphvWVT,Mon Mar 20 2023,Dhaka,Full Time,27050 - 44939
Assistant Professor of Textile Engineering,https://skill.jobs/jobs/assistant-professor-of-textile-engineering-htshSzhs,Mid Level,World University of Bangladesh,https://skill.jobs/company-profile/none-uSphvWVT,Mon Mar 20 2023,Dhaka,Full Time,45750 - 81344
Assistant Professor of Business Administration,https://skill.jobs/jobs/assistant-professor-of-business-administration-EySm0f9d,Mid Level,World University of Bangladesh,https://skill.jobs/company-profile/none-uSphvWVT,Sat Mar 18 2023,Dhaka,Full Time,45750 - 81344
Assistant Professor of Civil Engineering,https://skill.jobs/jobs/assistant-professor-of-civil-engineering-WlKWuqHj,Mid Level,World University of Bangladesh,https://skill.jobs/company-profile/none-uSphvWVT,Sat Mar 18 2023,Dhaka,Full Time,45750 - 81344
"Sr. Executive (Sustainability), Marketing & Business Development",https://skill.jobs/jobs/sr-executive-sustainability-marketing-business-development-wlQevkyz,Mid Level,Bashundhara Group,https://skill.jobs/company-profile/none-r1cLx7jb,Fri Mar 17 2023,Dhaka,Full Time,Negotiable
"Assistant Chemist/ Chemist (Laboratory), BOGCL",https://skill.jobs/jobs/assistant-chemist-chemist-laboratory-bogcl-RjLKHXBi,Beginner,Bashundhara Group,https://skill.jobs/company-profile/none-r1cLx7jb,Fri Mar 24 2023,Dhaka (South Keraniganj),Contractual,Negotiable
Executive - HR & Admin (Male),https://skill.jobs/jobs/executive-hr-admin-male-ygrti9Nd,Mid Level,BZM Graphics,https://skill.jobs/company-profile/bzm-graphics-LJLNF6Ck,Sun Apr 09 2023,Dhaka,Full Time,18000 - 20000
Senior HR Executive,https://skill.jobs/jobs/senior-hr-executive-nJtwXqPl,Mid Level,BZM Graphics,https://skill.jobs/company-profile/bzm-graphics-LJLNF6Ck,Sun Apr 09 2023,Dhaka (Mohammadpur),Full Time,28000 - 30000
IT Support Executive,https://skill.jobs/jobs/it-support-executive-Jgp9Z9jr,Beginner,BZM Graphics,https://skill.jobs/company-profile/bzm-graphics-LJLNF6Ck,Sun Apr 02 2023,Dhaka (Mohammadpur),Full Time,15000 - 25000
"Officer/Sr. Officer, HR & Admin",https://skill.jobs/jobs/officersr-officer-hr-admin-pvXpK8gQ,Mid Level,T.K Group,https://skill.jobs/company-profile/tk-group-EOXRuXLx,Mon Mar 20 2023,Dhaka,Full Time,Negotiable
Principal,https://skill.jobs/jobs/principal-YX8Qplhy,Top Level,Daffodil International College,https://skill.jobs/company-profile/none-MJoeBKoU,Sat Mar 25 2023,Dhaka,Full Time,Negotiable
Vice Principal,https://skill.jobs/jobs/vice-principal-EnGkvbAV,Top Level,Daffodil International College,https://skill.jobs/company-profile/none-MJoeBKoU,Sat Mar 25 2023,Dhaka,Full Time,Negotiable
Client Success Executive,https://skill.jobs/jobs/client-success-executive-P3Jg1ZoJ,Beginner,Ikigai HR Services Limited,https://skill.jobs/company-profile/none-NTOt7omD,Sat Mar 18 2023,Gulshan,Full Time,20000 - 25000
"Customer Services Officer, YAMAHA",https://skill.jobs/jobs/customer-services-officer-yamaha-TfjrsUbC,Beginner,ACI Motors Limited,https://skill.jobs/company-profile/none-l2QEv3oo,Mon Mar 20 2023,Tejgaon,Full Time,Negotiable
"Senior Service Engineer/ Service Engineer, Yamaha",https://skill.jobs/jobs/senior-service-engineer-service-engineer-yamaha-eJMwkGFv,Mid Level,ACI Motors Limited,https://skill.jobs/company-profile/none-l2QEv3oo,Wed Mar 15 2023,Anywhere,Full Time,Negotiable
"Deputy General Manager, Substation",https://skill.jobs/jobs/deputy-general-manager-substation-JwuZMFTZ,Top Level,SQ Group,https://skill.jobs/company-profile/none-zReudYIn,Fri Mar 31 2023,Anywhere,Full Time,Negotiable
"Manager, Substation",https://skill.jobs/jobs/manager-substation-HA8TpT5f,Experienced,SQ Group,https://skill.jobs/company-profile/none-zReudYIn,Fri Mar 31 2023,Anywhere,Full Time,Negotiable
Trainee Software Engineer (.NET),https://skill.jobs/jobs/trainee-software-engineer-net-4p0ohQ1e,Beginner,Data Edge Limited,https://skill.jobs/company-profile/none-y3xHSZRR,Fri Mar 24 2023,Dhaka,Full Time,Negotiable
Data Analyst,https://skill.jobs/jobs/data-analyst-iR7BodAj,Mid Level,SQ Group,https://skill.jobs/company-profile/none-zReudYIn,Fri Mar 31 2023,Anywhere,Full Time,Negotiable
Executive - Technical Help Desk,https://skill.jobs/jobs/executive-technical-help-desk-610srpEQ,Beginner,Data Edge Limited,https://skill.jobs/company-profile/none-y3xHSZRR,Mon Mar 20 2023,Dhaka,Full Time,Negotiable
"Manager, Software Development",https://skill.jobs/jobs/manager-software-development-1j3DoEP2,Top Level,Data Edge Limited,https://skill.jobs/company-profile/none-y3xHSZRR,Wed Mar 15 2023,Dhaka,Full Time,Negotiable
Commercial Officer/ Executive Import Dept & Customs Dept,https://skill.jobs/jobs/commercial-officer-executive-import-dept-customs-dept-MjxvSkSL,Experienced,"Al-muslim group, Dhaka",https://skill.jobs/company-profile/none-be4ryJ5k,Fri Apr 07 2023,Dhaka (Malibagh),Full Time,Negotiable
Deputy Manager/ Manager - Brand Marketing,https://skill.jobs/jobs/deputy-manager-manager-brand-marketing-TrypbVXl,Top Level,Rupayan City Uttara,https://skill.jobs/company-profile/none-ULjXva31,Thu Apr 06 2023,Uttara,Full Time,Negotiable
Technical Management Trainee (TMT)-Engineer,https://skill.jobs/jobs/technical-management-trainee-tmt-engineer-zIlx1lkx,Beginner,Anwar Group of Industries.,https://skill.jobs/company-profile/none-gHtJPIS9,Sun Apr 09 2023,Anywhere,Full Time,Negotiable
GM - Supply Chain Management,https://skill.jobs/jobs/gm-supply-chain-management-cl3jTB7B,Top Level,Rupayan City Uttara,https://skill.jobs/company-profile/none-ULjXva31,Sat Apr 08 2023,Uttara,Full Time,Negotiable
Project Engineer/ Assistant Project Manager,https://skill.jobs/jobs/project-engineer-assistant-project-manager-WI0B6qqP,Experienced,Rupayan City Uttara,https://skill.jobs/company-profile/none-ULjXva31,Thu Apr 06 2023,Uttara,Full Time,Negotiable
Delivery Supervisor (ACSL),https://skill.jobs/jobs/delivery-supervisor-acsl-zpCvwjlX,Beginner,Anwar Group of Industries.,https://skill.jobs/company-profile/none-gHtJPIS9,Mon Mar 20 2023,Munshiganj (Gazaria),Full Time,Negotiable
Sr. Executive - HR Operations & Payroll (Anwar Ispat Ltd),https://skill.jobs/jobs/sr-executive-hr-operations-payroll-anwar-ispat-ltd-Yme9t80M,Mid Level,Anwar Group of Industries.,https://skill.jobs/company-profile/none-gHtJPIS9,Wed Apr 05 2023,Gazipur (Gazipur Sadar),Full Time,Negotiable
Sr. Manager- Taxation,https://skill.jobs/jobs/sr-manager-taxation-32QntIrl,Top Level,Liz Fashion Industry Ltd.,https://skill.jobs/company-profile/none-myFp5Z6l,Sat Apr 08 2023,Anywhere,Full Time,Negotiable
Manager - Dyeing Laboratory,https://skill.jobs/jobs/manager-dyeing-laboratory-8RttCAaK,Top Level,Liz Fashion Industry Ltd.,https://skill.jobs/company-profile/none-myFp5Z6l,Fri Apr 07 2023,Anywhere,Full Time,Negotiable
"Sr. Executive (Certification), Sector- C",https://skill.jobs/jobs/sr-executive-certification-sector-c-UkOTA5zV,Mid Level,Bashundhara Group,https://skill.jobs/company-profile/none-r1cLx7jb,Fri Mar 17 2023,Dhaka,Full Time,Negotiable
"Sr. Executive (Environment), Paper Mill",https://skill.jobs/jobs/sr-executive-environment-paper-mill-Ah500Eo0,Experienced,Bashundhara Group,https://skill.jobs/company-profile/none-r1cLx7jb,Wed Mar 15 2023,Narayanganj (Sonargaon),Full Time,Negotiable
"Assistant Director, Construction Operation",https://skill.jobs/jobs/assistant-director-construction-operation-9BLgRK1V,Top Level,Edison Real Estate Ltd.,https://skill.jobs/company-profile/none-2v4nAdDM,Fri Mar 24 2023,Anywhere,Full Time,Negotiable
"Executive, Corporate Sales",https://skill.jobs/jobs/executive-corporate-sales-1X7miq7X,Mid Level,Daffodil Computers Ltd,https://skill.jobs/company-profile/daffodil-computers-ltd-kC754qdV,Wed Mar 15 2023,Dhanmondi,Full Time,Negotiable
"Deputy Manager/ Manager (HR & Admin), Sector- C",https://skill.jobs/jobs/deputy-manager-manager-hr-admin-sector-c-kGfAfgz1,Experienced,Bashundhara Group,https://skill.jobs/company-profile/none-r1cLx7jb,Wed Mar 15 2023,Dhaka,Full Time,Negotiable
"Executive/ Senior Executive, Audit - Project Operation",https://skill.jobs/jobs/executive-senior-executive-audit-project-operation-MW21GQZN,Mid Level,Edison Real Estate Ltd.,https://skill.jobs/company-profile/none-2v4nAdDM,Wed Mar 22 2023,Anywhere,Full Time,Negotiable
"Executive/ Sr. Executive (HR & Admin), Sector- C",https://skill.jobs/jobs/executive-sr-executive-hr-admin-sector-c-DcpB8GQi,Mid Level,Bashundhara Group,https://skill.jobs/company-profile/none-r1cLx7jb,Wed Mar 15 2023,Dhaka,Full Time,Negotiable
"Deputy Project Engineer/ Project Engineer, Construction Operation",https://skill.jobs/jobs/deputy-project-engineer-project-engineer-construction-operation-PF0FW74p,Experienced,Edison Real Estate Ltd.,https://skill.jobs/company-profile/none-2v4nAdDM,Thu Mar 16 2023,Anywhere,Full Time,Negotiable
"Head of plant/ COO, Bashundhara Chemical Industries Ltd.",https://skill.jobs/jobs/head-of-plant-coo-bashundhara-chemical-industries-ltd-zUG2ZZSy,Top Level,Bashundhara Group,https://skill.jobs/company-profile/none-r1cLx7jb,Thu Mar 16 2023,Chattogram (Mirsharai),Full Time,Negotiable
Head of Business Development (Joint Venture- Land),https://skill.jobs/jobs/head-of-business-development-joint-venture-land-D3KdvnWb,Experienced,Edison Real Estate Ltd.,https://skill.jobs/company-profile/none-2v4nAdDM,Tue Mar 14 2023,Dhaka,Full Time,Negotiable
"Executive/ Sr. Executive - Distribution, BOGCL",https://skill.jobs/jobs/executive-sr-executive-distribution-bogcl-wXbhsqOx,Beginner,Bashundhara Group,https://skill.jobs/company-profile/none-r1cLx7jb,Fri Mar 31 2023,Dhaka (South Keraniganj),Full Time,Negotiable
"AGM (Corporate Sales), Rupayan Group",https://skill.jobs/jobs/agm-corporate-sales-rupayan-group-GoiGwxCH,Experienced,Rupayan Group,https://skill.jobs/company-profile/none-dOlzv0IM,Sat Apr 08 2023,Anywhere,Full Time,Negotiable
Manager/ Assistant Manager - Sales (RHEL for Chattogram),https://skill.jobs/jobs/manager-assistant-manager-sales-rhel-for-chattogram-DY5inmrG,Mid Level,Rupayan Group,https://skill.jobs/company-profile/none-dOlzv0IM,Wed Apr 05 2023,Anywhere,Full Time,Negotiable
Executive/ Sr. Executive - Digital Marketing (Wholesaleclub Ltd.),https://skill.jobs/jobs/executive-sr-executive-digital-marketing-wholesaleclub-ltd-mNeiz0nD,Mid Level,Jamuna Group,https://skill.jobs/company-profile/none-2mTY7EOU,Thu Apr 06 2023,Anywhere,Full Time,Negotiable
"Deputy Manager - Distribution, BOGCL",https://skill.jobs/jobs/deputy-manager-distribution-bogcl-dMkFklu4,Experienced,Bashundhara Group,https://skill.jobs/company-profile/none-r1cLx7jb,Fri Mar 31 2023,Dhaka (South Keraniganj),Full Time,Negotiable
"Asst. Executive/ Executive (Store), Paper Mill",https://skill.jobs/jobs/asst-executive-executive-store-paper-mill-Fxagvgvv,Beginner,Bashundhara Group,https://skill.jobs/company-profile/none-r1cLx7jb,Mon Mar 13 2023,"Narayanganj, Munshiganj (Gazaria)",Full Time,Negotiable
Executive/ Sr. Executive (Local Procurement-Electrical Items),https://skill.jobs/jobs/executive-sr-executive-local-procurement-electrical-items-xntfeeux,Beginner,Bashundhara Group,https://skill.jobs/company-profile/none-r1cLx7jb,Sat Mar 11 2023,Dhaka,Full Time,Negotiable
Senior Blockchain Developer (Chattogram),https://skill.jobs/jobs/senior-blockchain-developer-chattogram-rAGqy37z,Beginner,CliqPack Limited,https://skill.jobs/company-profile/none-2HtPt7n6,Sat Mar 25 2023,Chattogram,Full Time,Negotiable
Executive/ Sr. Executive - E-commerce (Wholesale Club Ltd.),https://skill.jobs/jobs/executive-sr-executive-e-commerce-wholesale-club-ltd-3gtDjxzF,Mid Level,Jamuna Group,https://skill.jobs/company-profile/none-2mTY7EOU,Thu Apr 06 2023,Anywhere,Full Time,Negotiable
Senior Blockchain Developer (Dhaka),https://skill.jobs/jobs/senior-blockchain-developer-dhaka-WETzNhao,Beginner,CliqPack Limited,https://skill.jobs/company-profile/none-2HtPt7n6,Sat Mar 25 2023,"Mohakhali DOHS, Dhaka",Full Time,Negotiable
Officer- Chemical Store,https://skill.jobs/jobs/officer-chemical-store-0r6C6QTr,Mid Level,Palmal Group of Industries,https://skill.jobs/company-profile/none-hCFP4ftB,Mon Apr 03 2023,Gazipur,Full Time,Negotiable
Deputy Manager - Maintenance & Operation (Fire Safety),https://skill.jobs/jobs/deputy-manager-maintenance-operation-fire-safety-RutGYKXs,Experienced,Palmal Group of Industries,https://skill.jobs/company-profile/none-hCFP4ftB,Tue Mar 28 2023,Anywhere,Full Time,Negotiable
Intern- Sales and marketing,https://skill.jobs/jobs/intern-sales-and-marketing-vzH2MSuz,Beginner,Skill Jobs,https://skill.jobs/company-profile/none-jM5nRHt4,Sat Mar 18 2023,"Dhanmondi (DT4, Daffodil Tower 4, Shukrabad)",Part Time,Negotiable
Executive/Sr. Executive - Sales & Recovery (Tractor),https://skill.jobs/jobs/executivesr-executive-sales-recovery-tractor-V4wWicUS,Experienced,Energypac Power Generation Ltd.,https://skill.jobs/company-profile/none-QBbSj6up,Wed Mar 15 2023,Anywhere,Contractual,Negotiable
Engineer - Design (Prefabricated Steel Structure Products),https://skill.jobs/jobs/engineer-design-prefabricated-steel-structure-products-RLAI76I4,Mid Level,Energypac Power Generation Ltd.,https://skill.jobs/company-profile/none-QBbSj6up,Wed Mar 15 2023,Anywhere,Full Time,Negotiable
Officer (Technical & Support),https://skill.jobs/jobs/officer-technical-support-3Eaw2P8d,Beginner,UniCon Solution Ltd.,https://skill.jobs/company-profile/none-vtxA2HJ9,Wed Mar 15 2023,Dhaka,Full Time,Negotiable
Corporate Sales Officer - Promotional Products,https://skill.jobs/jobs/corporate-sales-officer-promotional-products-usoH74TX,Beginner,UniCon Solution Ltd.,https://skill.jobs/company-profile/none-vtxA2HJ9,Wed Mar 15 2023,Dhaka,Full Time,Negotiable
Software Engineer (.NET),https://skill.jobs/jobs/software-engineer-net-JbU8qw0n,Beginner,Prime Tech Solutions Ltd,https://skill.jobs/company-profile/none-plbnt666,Tue Apr 04 2023,Dhaka,Full Time,30000 - 60000
Manager - Resort,https://skill.jobs/jobs/manager-resort-meJztYKL,Experienced,Liz Fashion Industry Ltd.,https://skill.jobs/company-profile/none-myFp5Z6l,Tue Apr 04 2023,Gazipur,Full Time,Negotiable
Sr. Executive/ Asst. Manager - Administration,https://skill.jobs/jobs/sr-executive-asst-manager-administration-3wqCsGKl,Experienced,Liz Fashion Industry Ltd.,https://skill.jobs/company-profile/none-myFp5Z6l,Fri Mar 31 2023,Gazipur,Full Time,Negotiable
"Manager, Gender Mainstreaming & SRHR, Health & Nutrition, HCMP",https://skill.jobs/jobs/manager-gender-mainstreaming-srhr-health-nutrition-hcmp-QulYdBgS,Experienced,BRAC,https://skill.jobs/company-profile/none-ss5WeUei,Sat Mar 18 2023,"Cox's Bazar (Teknaf, Ukhia)",Full Time,Negotiable
"Vaccinator, Health and Nutrition, HCMP",https://skill.jobs/jobs/vaccinator-health-and-nutrition-hcmp-LRiiMdyW,Beginner,BRAC,https://skill.jobs/company-profile/none-ss5WeUei,Thu Mar 16 2023,"Cox's Bazar (Teknaf, Ukhia)",Contractual,Negotiable
"Senior Nurse, Health and Nutrition, HCMP",https://skill.jobs/jobs/senior-nurse-health-and-nutrition-hcmp-Va3AXzRB,Beginner,BRAC,https://skill.jobs/company-profile/none-ss5WeUei,Thu Mar 16 2023,"Cox's Bazar (Teknaf, Ukhia), Noakhali (Hatiya)",Contractual,Negotiable
"Technical Assistant -Triage, Health and Nutrition, HCMP",https://skill.jobs/jobs/technical-assistant-triage-health-and-nutrition-hcmp-2XJUMeXU,Beginner,BRAC,https://skill.jobs/company-profile/none-ss5WeUei,Thu Mar 16 2023,"Cox's Bazar (Teknaf, Ukhia)",Contractual,Negotiable
"Pharmacist, Health and Nutrition, HCMP",https://skill.jobs/jobs/pharmacist-health-and-nutrition-hcmp-mKabxX9p,Beginner,BRAC,https://skill.jobs/company-profile/none-ss5WeUei,Thu Mar 16 2023,"Cox's Bazar (Teknaf, Ukhia)",Contractual,Negotiable
"Community Mobilisation Officer (CMO), Site Management Support (SMS), HCMP",https://skill.jobs/jobs/community-mobilisation-officer-cmo-site-management-support-sms-hcmp-51w7ygnM,Beginner,BRAC,https://skill.jobs/company-profile/none-ss5WeUei,Thu Mar 16 2023,"Cox's Bazar (Teknaf, Ukhia)",Contractual,Negotiable
"Manager, Knowledge Management, M&E and Reporting, WASH, HCMP (Re-advertisement)",https://skill.jobs/jobs/manager-knowledge-management-me-and-reporting-wash-hcmp-re-advertisement-66Bbj4UP,Mid Level,BRAC,https://skill.jobs/company-profile/none-ss5WeUei,Fri Mar 10 2023,Cox's Bazar,Contractual,Negotiable
"Head of Technology Development, Toffee",https://skill.jobs/jobs/head-of-technology-development-toffee-YUchY134,Experienced,Banglalink,https://skill.jobs/company-profile/none-3eHiotlP,Thu Apr 06 2023,Dhaka,Full Time,Negotiable
"APP Development Lead Engineer, Toffee",https://skill.jobs/jobs/app-development-lead-engineer-toffee-77BW9lpn,Experienced,Banglalink,https://skill.jobs/company-profile/none-3eHiotlP,Thu Apr 06 2023,Dhaka,Full Time,Negotiable
Enterprise Solutions & Service Specialist Engineer,https://skill.jobs/jobs/enterprise-solutions-service-specialist-engineer-GR2Gm3C6,Mid Level,Banglalink,https://skill.jobs/company-profile/none-3eHiotlP,Sat Apr 01 2023,Dhaka,Full Time,Negotiable
Head of Business Analytics & Insights,https://skill.jobs/jobs/head-of-business-analytics-insights-bQ9wx4mW,Top Level,Banglalink,https://skill.jobs/company-profile/none-3eHiotlP,Tue Mar 14 2023,Dhaka,Full Time,Negotiable
Mobile Application Developer,https://skill.jobs/jobs/mobile-application-developer-eDyurWlT,Beginner,LEADS Corporation Limited,https://skill.jobs/company-profile/leads-corporation-limited-IJETibsd,Sun Mar 19 2023,Dhaka,Full Time,Negotiable
Senior Software Engineer/Team Lead,https://skill.jobs/jobs/senior-software-engineerteam-lead-s4LtsxhI,Mid Level,Spectrum IT Solutions Ltd,https://skill.jobs/company-profile/none-z7dTuB3Y,Wed Mar 15 2023,Dhaka,Full Time,Negotiable
Asst. Manager/ Sr. Executive- Compliance (CHO),https://skill.jobs/jobs/asst-manager-sr-executive-compliance-cho-Cx9ZCbud,Experienced,Palmal Group of Industries,https://skill.jobs/company-profile/none-hCFP4ftB,Sat Mar 18 2023,Gulshan,Full Time,Negotiable
Asst. Manager - Procurement (Dyes & Chemical),https://skill.jobs/jobs/asst-manager-procurement-dyes-chemical-uix1fta4,Experienced,Palmal Group of Industries,https://skill.jobs/company-profile/none-hCFP4ftB,Thu Mar 16 2023,Anywhere,Full Time,Negotiable
