Job Title,Job description Link,badge,Company name,Company Profile Link,Deadline ,Location,Job Type,Salary Amount
VISUALISER,https://skill.jobs/jobs/visualiser-9RsP38t9,Beginner,AH&Z Associates Ltd,https://skill.jobs/company-profile/none-WLwjYSCC,Wed Mar 08 2023,Dhaka (Gulshan),Full Time,Negotiable
Assistant Accounts Officer - Taxation,https://skill.jobs/jobs/assistant-accounts-officer-taxation-DGbyQsol,Beginner,Advanced Chemical Industries Limited (ACI),https://skill.jobs/company-profile/none-OMMAmivQ,Sat Feb 25 2023,Dhaka,Full Time,Negotiable
General Manager,https://skill.jobs/jobs/general-manager-T7EXaZsK,Beginner,Gprojukti.com Ltd,https://skill.jobs/company-profile/none-7PnHRavL,Tue Feb 28 2023,Dhaka,Full Time,150000 - 200000
Assistant Manager - Operational Excellence,https://skill.jobs/jobs/assistant-manager-operational-excellence-Cijcf9wU,Experienced,Akij Resources Limited,https://skill.jobs/company-profile/none-S3qB7GH1,Sat Feb 25 2023,Narayanganj,Full Time,Negotiable
Trainee-Operational Excellence,https://skill.jobs/jobs/trainee-operational-excellence-UpMdeBg2,Beginner,Akij Resources Limited,https://skill.jobs/company-profile/none-S3qB7GH1,Sat Feb 25 2023,Dhaka,Full Time,Negotiable
Officer - Operational Excellence,https://skill.jobs/jobs/officer-operational-excellence-mQhTVyNJ,Beginner,Akij Resources Limited,https://skill.jobs/company-profile/none-S3qB7GH1,Sat Feb 25 2023,Narayanganj,Full Time,Negotiable
Officer/ Senior Officer - Marketing,https://skill.jobs/jobs/officer-senior-officer-marketing-PIl3tDnW,Mid Level,Akij Resources Limited,https://skill.jobs/company-profile/none-S3qB7GH1,Mon Feb 20 2023,Dhaka,Full Time,Negotiable
Assistant/Hall Officer,https://skill.jobs/jobs/assistanthall-officer-LsE2X6g0,Beginner,Creative International - (Daffodil Family),https://skill.jobs/company-profile/none-o7cpTIKP,Mon Feb 20 2023,"Daffodil Smart City, Ashulia",Full Time,15000 - 20000
Territory Sales Officer,https://skill.jobs/jobs/territory-sales-officer-5KWu2P5b,Beginner,PCI LTD.,https://skill.jobs/company-profile/none-URF6G7yg,Sat Feb 18 2023,Dhaka,Full Time,Negotiable
"Associate Manger/ Manager, Enterprise Network Services",https://skill.jobs/jobs/associate-manger-manager-enterprise-network-services-m6IrWbFJ,Mid Level,BRAC Bank Limited,https://skill.jobs/company-profile/none-CevIsP2J,Mon Feb 20 2023,Anywhere in Bangladesh,Full Time,Negotiable
"Associate Relationship Manager - Senior Relationship Manager, MNCs - Global Corporate, TB - Corporat",https://skill.jobs/jobs/associate-relationship-manager-senior-relationship-manager-mncs-global-corporate-tb-corporat-PZrkXR6T,Mid Level,BRAC Bank Limited,https://skill.jobs/company-profile/none-CevIsP2J,Sat Feb 25 2023,Anywhere in Bangladesh,Full Time,Negotiable
Sales Officer,https://skill.jobs/jobs/sales-officer-ODzLomm6,Beginner,PCI LTD.,https://skill.jobs/company-profile/none-URF6G7yg,Sat Feb 18 2023,Anywhere in Bangladesh,Full Time,Negotiable
Business Development Executive,https://skill.jobs/jobs/business-development-executive-sDlceh6h,Beginner,PCI LTD.,https://skill.jobs/company-profile/none-URF6G7yg,Sat Feb 18 2023,Dhaka,Full Time,Negotiable
Young Leaders' Program,https://skill.jobs/jobs/young-leaders-program-9d2woDR8,Mid Level,BRAC Bank Limited,https://skill.jobs/company-profile/none-CevIsP2J,Sat Feb 25 2023,Anywhere in Bangladesh,Full Time,70000 - 70000
Executive - Social Media (Female),https://skill.jobs/jobs/executive-social-media-female-1Tynl3qJ,Mid Level,PCI LTD.,https://skill.jobs/company-profile/none-URF6G7yg,Sat Feb 18 2023,Dhaka,Full Time,Negotiable
Officer (Promotion & Marketing),https://skill.jobs/jobs/officer-promotion-marketing-UzseNF3O,Beginner,DIPTI,https://skill.jobs/company-profile/none-Zbfvjzk5,Wed Feb 01 2023,Dhaka,Full Time,18000 - 22000
"Junior Executive Officer, Academic Affairs",https://skill.jobs/jobs/junior-executive-officer-academic-affairs-mHuMZix6,Beginner,PCI LTD.,https://skill.jobs/company-profile/none-URF6G7yg,Sat Feb 18 2023,Dhaka,Full Time,Negotiable
Lecturer of Civil Engineering (Major in Structural Engineering),https://skill.jobs/jobs/lecturer-of-civil-engineering-major-in-structural-engineering-2z45TDTm,Mid Level,World University of Bangladesh,https://skill.jobs/company-profile/none-uSphvWVT,Tue Feb 28 2023,Dhaka,Full Time,27050 - 44939
"Professor (Major in Artificial Intelligence, Cyber Security, Machine Learning)",https://skill.jobs/jobs/professor-major-in-artificial-intelligence-cyber-security-machine-learning-aZdqsrl6,Experienced,World University of Bangladesh,https://skill.jobs/company-profile/none-uSphvWVT,Mon Feb 20 2023,Dhaka,Full Time,122730 - 183873
"Associate Professor (Major in Artificial Intelligence, Cyber Security, Machine Learning)",https://skill.jobs/jobs/associate-professor-major-in-artificial-intelligence-cyber-security-machine-learning-UZB5Sl5c,Experienced,World University of Bangladesh,https://skill.jobs/company-profile/none-uSphvWVT,Mon Feb 20 2023,Dhaka,Full Time,81540 - 137432
Marketing Executive,https://skill.jobs/jobs/marketing-executive-KAzV2moy,Mid Level,PCI LTD.,https://skill.jobs/company-profile/none-URF6G7yg,Sat Feb 18 2023,Dhaka,Full Time,Negotiable
Store Officer,https://skill.jobs/jobs/store-officer-2sSCWCk1,Mid Level,PCI LTD.,https://skill.jobs/company-profile/none-URF6G7yg,Sat Feb 18 2023,Dhaka,Full Time,Negotiable
Officer/ Senior Officer - Purchase,https://skill.jobs/jobs/officer-senior-officer-purchase-kz8QIMRy,Mid Level,PCI LTD.,https://skill.jobs/company-profile/none-URF6G7yg,Sat Feb 18 2023,Dhaka,Full Time,Negotiable
Manager (Sales & Marketing),https://skill.jobs/jobs/manager-sales-marketing-2ZOF7Azn,Beginner,PCI LTD.,https://skill.jobs/company-profile/none-URF6G7yg,Sat Feb 18 2023,Dhaka,Full Time,Negotiable
Executive (Local Procurement),https://skill.jobs/jobs/executive-local-procurement-05HqqH8Z,Beginner,PCI LTD.,https://skill.jobs/company-profile/none-URF6G7yg,Sat Feb 18 2023,Dhaka,Full Time,Negotiable
Customer Service Executive,https://skill.jobs/jobs/customer-service-executive-D4m24tYA,Beginner,Digicon Technologies Ltd.,https://skill.jobs/company-profile/none-SQL3RBVR,Tue Feb 28 2023,Anywhere,Full Time,Negotiable
"Sr. Executive/ Executive - Quality Control, Flexible Packaging Unit",https://skill.jobs/jobs/sr-executive-executive-quality-control-flexible-packaging-unit-NfC3HnmH,Beginner,Meghna Group of Industries,https://skill.jobs/company-profile/none-naqLihTL,Wed Feb 15 2023,Narayanganj,Full Time,Negotiable
BPO Trainee,https://skill.jobs/jobs/bpo-trainee-ndfBrvMi,Beginner,Digicon Technologies Ltd.,https://skill.jobs/company-profile/none-SQL3RBVR,Fri Mar 10 2023,Anywhere,Full Time,Negotiable
BPO Trainee,https://skill.jobs/jobs/bpo-trainee-23qLVsIH,Beginner,FIFO Tech,https://skill.jobs/company-profile/none-izNC6EdG,Sat Mar 11 2023,Anywhere,Full Time,Negotiable
"Officer/Sr. Officer, Market Research",https://skill.jobs/jobs/officersr-officer-market-research-RM39Z9oF,Beginner,Meghna Group of Industries,https://skill.jobs/company-profile/none-naqLihTL,Wed Feb 15 2023,Dhaka,Full Time,Negotiable
Assistant Manager - IT (Core Network Support),https://skill.jobs/jobs/assistant-manager-it-core-network-support-0LTzWKMp,Mid Level,Meghna Group of Industries,https://skill.jobs/company-profile/none-naqLihTL,Wed Feb 15 2023,Narayanganj,Full Time,Negotiable
Executive/Sr. Executive/ Asst. Manager,https://skill.jobs/jobs/executivesr-executive-asst-manager-eN79FBpP,Beginner,Anirban Builders Ltd.,https://skill.jobs/company-profile/none-YSvqd4Pi,Tue Feb 28 2023,Dhaka,Full Time,10000 - 25000
Web Developer,https://skill.jobs/jobs/web-developer-bMY0NcyF,Beginner,PRAN-RFL Group,https://skill.jobs/company-profile/none-bmQ4A4Fv,Tue Feb 28 2023,Dhaka,Full Time,Negotiable
Sub Assistant Manager (Outlet Development),https://skill.jobs/jobs/sub-assistant-manager-outlet-development-VPR2kmk5,Beginner,PRAN-RFL Group,https://skill.jobs/company-profile/none-bmQ4A4Fv,Sat Feb 25 2023,Anywhere in Bangladesh,Full Time,Negotiable
Senior Admission Officer / Senior Counsellor,https://skill.jobs/jobs/senior-admission-officer-senior-counsellor-O3ce8CIE,Beginner,EN Global Education Ltd,https://skill.jobs/company-profile/none-UXdpizqP,Thu Mar 09 2023,Anywhere in Bangladesh,Full Time,Negotiable
Head of Operation,https://skill.jobs/jobs/head-of-operation-5tDNoeRP,Beginner,PCI LTD.,https://skill.jobs/company-profile/none-URF6G7yg,Sat Feb 18 2023,Dhaka,Full Time,Negotiable
Assistant Teacher,https://skill.jobs/jobs/assistant-teacher-SXQ5uyof,Beginner,Safe Education Family,https://skill.jobs/company-profile/none-PcFLX6Gl,Thu Mar 09 2023,Dhaka,Full Time,12000 - 18000
Manager/Senior Manager-Organizational Development,https://skill.jobs/jobs/managersenior-manager-organizational-development-bJxmJlxK,Mid Level,PCI LTD.,https://skill.jobs/company-profile/none-URF6G7yg,Sat Feb 18 2023,Dhaka,Full Time,Negotiable
Social Media Executive,https://skill.jobs/jobs/social-media-executive-DegOLajt,Beginner,Bashundhara Group,https://skill.jobs/company-profile/none-r1cLx7jb,Fri Feb 17 2023,Dhaka,Full Time,Negotiable
