Job name,Description Link,Company Name,Location,Experience ,Education Qualification,Year,Deadline,,,,,,,,,,,,,,
Executive - ERP & IT,https://jobs.bdjobs.com/jobdetails.asp?id=1132953&fcatId=-1&ln=1,A furniture manufacturing company,Gazipur,At least 2 year(s),Diploma/B.Sc. in Engineering,2023,10-Apr,,,,,,,,,,,,,,
Collection Executive (Bank or Finance DEBT Collection),https://jobs.bdjobs.com/jobdetails.asp?id=1133024&fcatId=-1&ln=1,MSI Credit & Collection Service Ltd.,Dhaka,1 to 3 year(s),Bachelor degree in any discipline.,2023,31-Mar,,,,,,,,,,,,,,
Computer Operator,https://jobs.bdjobs.com/jobdetails.asp?id=1133018&fcatId=-1&ln=1,multibrand WORKSHOP ltd.,Dhaka,Na,HSC / Graduation in any Discipline,2023,10-Apr,,,,,,,,,,,,,,
"Sub Asst. Engineer/ Executive (Automobile), Transport",https://jobs.bdjobs.com/jobdetails.asp?id=1133020&fcatId=-1&ln=1,Bashundhara Group,Anywhere in Bangladesh,1 to 2 year(s),Diploma in Automobile Engineering from any reputed institution/Graduation in any discipline.,2023,25-Mar,,,,,,,,,,,,,,
?????? ??????,https://jobs.bdjobs.com/jobdetails.asp?id=1132976&fcatId=-1&ln=2,??????? ???? ??????? ???? ????????,????????? ???,At least 2 year(s),????????? ????? ??????/ ????????????,2023,10-Apr,,,,,,,,,,,,,,
Brand Promoter/ Sales Representatives,https://jobs.bdjobs.com/jobdetails.asp?id=1132659&fcatId=-1&ln=1,Bangladesh Bazar,Khulna,Na,SSC,2023,31-Mar,,,,,,,,,,,,,,
???????,https://jobs.bdjobs.com/jobdetails.asp?id=1133016&fcatId=-1&ln=2,Dressmen,???????,Na,"??????? ??, ??, ??",2023,10-Apr,,,,,,,,,,,,,,
Sales Executive,https://jobs.bdjobs.com/jobdetails.asp?id=1132894&fcatId=-1&ln=1,CommJuncture,Dhaka,At least 5 year(s),Bachelor of Business Administration (BBA),2023,20-Mar,,,,,,,,,,,,,,
Web Developer Required (Laravel/ReactJS),https://jobs.bdjobs.com/jobdetails.asp?id=1133014&fcatId=-1&ln=1,ETHER TECHNOLOGIES LIMITED,Anywhere in Bangladesh,1 to 3 year(s),,2023,10-Apr,,,,,,,,,,,,,,
Tele (Sales & Marketing) Executive/ Representative (NIGHT SHIFT),https://jobs.bdjobs.com/jobdetails.asp?id=1133010&fcatId=-1&ln=1,Kaizen Tech,Mohammadpur,At least 2 year(s),"A Level, O Level, bachelor`s degree in any Marketing and Sales, bachelor`s degree in any discipline",2023,31-Mar,,,,,,,,,,,,,,
Phonics Instructors for Kids (Jolly Phonics),https://jobs.bdjobs.com/jobdetails.asp?id=1132912&fcatId=-1&ln=1,Mojaru Education Technologies Limited,Anywhere in Bangladesh,Na,Master of Arts (MA) in English Language Teaching(ELT),2023,10-Apr,,,,,,,,,,,,,,
????? ????????,https://jobs.bdjobs.com/jobdetails.asp?id=1132896&fcatId=-1&ln=2,"Fuzhou guiguan electric power development Co.,LTD",????,At least 2 year(s),,2023,25-Mar,,,,,,,,,,,,,,
"Resort Manager - Operation (FKC Resort - Fantasy Kingdom Complex, Ashulia, Savar)",https://jobs.bdjobs.com/jobdetails.asp?id=1133007&fcatId=-1&ln=1,Concord Group,Savar,1 to 5 year(s),The ideal candidate must have Graduation from any reputed educational Institution preferably in ...,2023,10-Apr,,,,,,,,,,,,,,
Financial Expert,https://jobs.bdjobs.com/jobdetails.asp?id=1133000&fcatId=-1&ln=1,SHAHIDUL CONSULTANT LIMITED (SCL),Dhaka,At least 7 year(s),MBA in Finance or MSS in Economics from reputed university. MBA/BBA from IBA of Dhaka University ...,2023,20-Mar,,,,,,,,,,,,,,
Quality Manager,https://jobs.bdjobs.com/jobdetails.asp?id=1133006&fcatId=-1&ln=1,Winclass Imports Inc.,Dhaka,3 to 5 year(s),Minimum Graduate/Bachelor`s degree in any discipline,2023,10-Apr,,,,,,,,,,,,,,
Merchandiser / Senior Merchandiser,https://jobs.bdjobs.com/jobdetails.asp?id=1133001&fcatId=-1&ln=1,Winclass Imports Inc.,Dhaka,At most 12 year(s),Minimum Graduate/Bachelor`s degree in any discipline,2023,31-Mar,,,,,,,,,,,,,,
,,,,5 to 8 year(s),,,10-Apr,,,,,,,,,,,,,,
,,,,,,,25-Mar,locon-text-d,locon-text-d src,edu-text-d src,edu-text-d,edu-text-d 2,exp-text-d,exp-text-d src,dead-text-s,dead-text-s src,dead-text-d,dead-text-d 2,comp_logo src,,
A.S.M/R.S.M,https://jobs.bdjobs.com/jobdetails.asp?id=1132519&fcatId=-1&ln=1,J&S Agricare,Sherpur Sadar,3 to 5 year(s),Bachelor degree in any discipline,2023,31-Mar,,,,,,,,,,,,,,
Customer Service Representative,https://jobs.bdjobs.com/jobdetails.asp?id=1130799&fcatId=-1&ln=1,DxSale,Dhaka,Na,,2023,30-Mar,,,,,,,,,,,,,,
????? ????????? (Z.M),https://jobs.bdjobs.com/jobdetails.asp?id=1132649&fcatId=-1&ln=2,Refine Homoeo Laboratory,?????????? ?????? ??????,1 to 2 year(s),??????/???????????,2023,1-Apr,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Lab Attendant (Computer Lab),https://jobs.bdjobs.com/jobdetails.asp?id=1132581&fcatId=-1&ln=1,Southeast University,Dhaka,Na,SSC with Science/ Equivalent to SSC with CGPA 2.00.,2023,26-Mar,,,,,,,,,,,,,,
Lab Assistant (EEE Lab),https://jobs.bdjobs.com/jobdetails.asp?id=1120645&fcatId=-1&ln=1,Southeast University,Dhaka,At least 1 year(s),Diploma or higher degree in EEE background.,2023,26-Mar,,,,,,,,,,,,,,
Lab Assistant (Yarn Mfg Technology Lab),https://jobs.bdjobs.com/jobdetails.asp?id=1120643&fcatId=-1&ln=1,Southeast University,Dhaka,Na,Diploma in Textiles.,2023,26-Mar,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Demonstrator (Physics Lab),https://jobs.bdjobs.com/jobdetails.asp?id=1120628&fcatId=-1&ln=1,Southeast University,Dhaka,At least 2 year(s),Master`s or equivalent degree in relevant discipline with minimum CGPA 2.75 in each attempted ...,2023,26-Mar,,,,,,,,,,,,,,
Site Supervisor,https://jobs.bdjobs.com/jobdetails.asp?id=1132624&fcatId=-1&ln=1,Step  Media Limited,Anywhere in Bangladesh,1 to 4 year(s),Diploma in Architecture,2023,22-Mar,,,,,,,,,,,,,,
Workshop Manager,https://jobs.bdjobs.com/jobdetails.asp?id=1131655&fcatId=-1&ln=1,EURO CAR SOLUTIONLTD,Dhaka,At least 15 year(s),Diploma in Automobile,2023,1-Apr,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Quality Manager/ Sr. Manager - Inspection & Folding (Zaber & Zubair Fabrics Limited- Home Textile,https://jobs.bdjobs.com/jobdetails.asp?id=1132647&fcatId=-1&ln=1,Noman Group,Tongi,8 to 12 year(s),Bachelor of Arts (BA),2023,13-Apr,,,,,,,,,,,,,,
????? ??????,https://jobs.bdjobs.com/jobdetails.asp?id=1132568&fcatId=-1&ln=2,PROUTSH SROMOBAI SOMITY,????,Na,,2023,13-Apr,,,,,,,,,,,,,,
General Manager (Sales & Marketing),https://jobs.bdjobs.com/jobdetails.asp?id=1132532&fcatId=-1&ln=1,Swadesh Properties Ltd.,Anywhere in Bangladesh,15 to 22 year(s),Minimum Graduate/ BBA/MBA/MA or other studies in Marketing will be an advantage.,2023,13-Apr,,,,,,,,,,,,,,
Marketing Officer,https://jobs.bdjobs.com/jobdetails.asp?id=1132506&fcatId=-1&ln=1,J&S Agrovet,Sherpur Sadar,At least 4 year(s),Bachelor degree in any discipline,2023,27-Mar,,,,,,,,,,,,,,
Digital Marketer,https://jobs.bdjobs.com/jobdetails.asp?id=1132644&fcatId=-1&ln=1,Rokomari.com,Motijheel,2 to 3 year(s),Bachelor degree in any discipline,2023,21-Mar,,,,,,,,,,,,,,
Executive - Merchandising (Production),https://jobs.bdjobs.com/jobdetails.asp?id=1132517&fcatId=-1&ln=1,Pearl Garments Manufacturing Limited,Savar,2 to 3 year(s),Bachelor of Science (BSc) in Textile Engineering,2023,20-Mar,,,,,,,,,,,,,,
Executive - Merchandising (Supply Chain),https://jobs.bdjobs.com/jobdetails.asp?id=1132643&fcatId=-1&ln=1,Peral Garments Company Limited,Savar,2 to 3 year(s),Bachelor of Science (BSc) in Textile Engineering,2023,20-Mar,,,,,,,,,,,,,,
Sr. General Manager (Sales & Marketing),https://jobs.bdjobs.com/jobdetails.asp?id=1132530&fcatId=-1&ln=1,Swadesh Properties Ltd.,Anywhere in Bangladesh,20 to 25 year(s),Minimum Graduate/ BBA/MBA/MA or other studies in Marketing will be an advantage.,2023,13-Apr,,,,,,,,,,,,,,
Executive Director (Sales & Marketing),https://jobs.bdjobs.com/jobdetails.asp?id=1132527&fcatId=-1&ln=1,Swadesh Properties Ltd.,Anywhere in Bangladesh,20 to 25 year(s),Minimum Graduate/ BBA/MBA/MA or other studies in Marketing will be an advantage.,2023,13-Apr,,,,,,,,,,,,,,
Sales Executive - Chittagong Shop,https://jobs.bdjobs.com/jobdetails.asp?id=1132632&fcatId=-1&ln=1,Gprojukti.com Ltd,"Chattogram, Anwara, Chandgaon, Pekua, Khulshi, Halishahar",At most 2 year(s),HSC,2023,13-Apr,,,,,,,,,,,,,,
Sr. Executive- Recruitment,https://jobs.bdjobs.com/jobdetails.asp?id=1132633&fcatId=-1&ln=1,A Renowned HR Outsourcing Firm,Dhaka,At least 3 year(s),Bachelors/ BBA/MBA preferred in HRM,2023,22-Mar,,,,,,,,,,,,,,
Chief Financial Officer (CFO),https://jobs.bdjobs.com/jobdetails.asp?id=1132636&fcatId=-1&ln=1,A renowned Private Commercial Bank,Dhaka,At least 10 year(s),Master of Commerce (MCom),2023,29-Mar,,,,,,,,,,,,,,
Officer/Sr. Officer - Talent Acquisition,https://jobs.bdjobs.com/jobdetails.asp?id=1132605&fcatId=-1&ln=1,Akij Resources Limited,Dhaka,At least 2 year(s),BBA and MBA in HRM from reputed University.,2023,26-Mar,,,,,,,,,,,,,,
Senior Manager - IE (Industrial Engineering),https://jobs.bdjobs.com/jobdetails.asp?id=1132641&fcatId=-1&ln=1,Fakir Fashion Ltd.,Narayanganj,10 to 12 year(s),B.Sc in IPE/ Textile Engineering,2023,23-Mar,,,,,,,,,,,,,,
Sr. Manager/AGM (Engineer),https://jobs.bdjobs.com/jobdetails.asp?id=1132462&fcatId=-1&ln=1,Bay Power Technology Limited,Dhaka,At least 5 year(s),Bachelor in Engineering (BEngg) in EEE,2023,13-Apr,,,,,,,,,,,,,,
Sr. Executive - Finance & Accounting,https://jobs.bdjobs.com/jobdetails.asp?id=1132635&fcatId=-1&ln=1,Intelligent Image Management Limited,Dhaka,2 to 3 year(s),Bachelor of Commerce (BCom),2023,31-Mar,,,,,,,,,,,,,,
"Bangladesh Studies (History and Geography) Teacher, Class 5-7",https://jobs.bdjobs.com/jobdetails.asp?id=1132629&fcatId=-1&ln=1,Sir John Wilson School,Dhaka,2 to 3 year(s),Bachelor degree (Masters preferred) in Bangladesh Studies (History and Geography),2023,13-Apr,,,,,,,,,,,,,,
English Teacher (5-7),https://jobs.bdjobs.com/jobdetails.asp?id=1132627&fcatId=-1&ln=1,Sir John Wilson School,Dhaka,2 to 3 year(s),Bachelor degree (Masters preferred) in English,2023,13-Apr,,,,,,,,,,,,,,
ICT Teacher (Class 5-7),https://jobs.bdjobs.com/jobdetails.asp?id=1132625&fcatId=-1&ln=1,Sir John Wilson School,Dhaka,2 to 3 year(s),Bachelor degree (Masters preferred) in ICT,2023,13-Apr,,,,,,,,,,,,,,
"Science Teacher, Class 5-7",https://jobs.bdjobs.com/jobdetails.asp?id=1132622&fcatId=-1&ln=1,Sir John Wilson School,Dhaka,2 to 3 year(s),Bachelor degree (Masters preferred) in Science,2023,13-Apr,,,,,,,,,,,,,,
"Bangla Teacher, Class 5- 7",https://jobs.bdjobs.com/jobdetails.asp?id=1132619&fcatId=-1&ln=1,Sir John Wilson School,Dhaka,At least 5 year(s),Bachelor degree (Masters preferred) in Bangla,2023,13-Apr,,,,,,,,,,,,,,
"Maths Teacher, Class 5-7",https://jobs.bdjobs.com/jobdetails.asp?id=1132614&fcatId=-1&ln=1,Sir John Wilson School,Dhaka,2 to 3 year(s),Bachelor degree (Masters preferred) in Mathematics,2023,13-Apr,,,,,,,,,,,,,,
English Teacher (Class 1 to 4),https://jobs.bdjobs.com/jobdetails.asp?id=1132611&fcatId=-1&ln=1,Sir John Wilson School,Dhaka,At least 2 year(s),Bachelors/ Masters in English,2023,13-Apr,,,,,,,,,,,,,,
Accounts Officer,https://jobs.bdjobs.com/jobdetails.asp?id=1132628&fcatId=-1&ln=1,Monpura Group.,Dhaka,At least 2 year(s),BBA & MBA in Accounting / Finance,2023,13-Apr,,,,,,,,,,,,,,
Graphics Designer,https://jobs.bdjobs.com/jobdetails.asp?id=1132626&fcatId=-1&ln=1,Monpura Group.,Dhaka,At least 2 year(s),Diploma or BSC in CSE,2023,13-Apr,,,,,,,,,,,,,,
"Field Assistant, Printing & Dyeing, HCMP",https://jobs.bdjobs.com/jobdetails.asp?id=1132631&fcatId=-1&ln=1,BRAC.,Ukhia,At least 2 year(s),HSC,2023,24-Mar,,,,,,,,,,,,,,
Manager - Finance & Accounts,https://jobs.bdjobs.com/jobdetails.asp?id=1132618&fcatId=-1&ln=1,"Kung Keng Textile (BD) Co., Ltd. (A sister concern of Labib Group)",Savar,8 to 12 year(s),Master of Business Administration (MBA) in Accounts Finance,2023,30-Mar,,,,,,,,,,,,,,
Farm In-charge (Dairy),https://jobs.bdjobs.com/jobdetails.asp?id=1132621&fcatId=-1&ln=1,Keya Agro Process Ltd.,Gazipur,2 to 5 year(s),Bachelor of Science (BSc) in Dairy,2023,13-Apr,,,,,,,,,,,,,,
Accountant and Administrative Officer,https://jobs.bdjobs.com/jobdetails.asp?id=1132507&fcatId=-1&ln=1,A Renowned Fintech Solution Company,Dhaka,At least 1 year(s),BBA/ MBA/Bachelors Degree,2023,28-Mar,,,,,,,,,,,,,,
Product Officer,https://jobs.bdjobs.com/jobdetails.asp?id=1132610&fcatId=-1&ln=1,Servier Bangladesh Operation,Anywhere in Bangladesh,1 to 2 year(s),The ideal candidate should have a bachelor degree in Pharmacy/Medicine.,2023,25-Mar,,,,,,,,,,,,,,
????? ?????? (?????/?????),https://jobs.bdjobs.com/jobdetails.asp?id=1132608&fcatId=-1&ln=2,DSG Ltd,?????????? ?????? ??????,Na,???????,2023,13-Apr,,,,,,,,,,,,,,
,,,,,,,,job-title-text href,comp-name-text,locon-text-d,locon-text-d src,edu-text-d src,edu-text-d,edu-text-d 2,exp-text-d,exp-text-d src,dead-text-s,dead-text-s src,dead-text-d,dead-text-d 2,comp_logo src
"Senior Architect, Oriental Real Estate Ltd.",https://jobs.bdjobs.com/jobdetails.asp?id=1132607&fcatId=-1&ln=1,Oriental Group,Dhanmondi,At least 7 year(s),Bachelor of Architecture (B. Arch) from reputed private or public Universities.,2023,13-Apr,,,,,,,,,,,,,,
Jr. Executive (Marker Man) - CAD,https://jobs.bdjobs.com/jobdetails.asp?id=1132612&fcatId=-1&ln=1,Pacific Jeans Limited,Chattogram,3 to 5 year(s),Bachelor degree in any discipline,2023,21-Mar,,,,,,,,,,,,,,
Lecturer (Biology),https://jobs.bdjobs.com/jobdetails.asp?id=1132600&fcatId=-1&ln=1,Moulovi Abdul Hye Memorial School & College (Gopalgonj),"Gopalganj, Muksudpur",2 to 5 year(s),Bachelor of Science (BSc) in Zoology,2023,30-Mar,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
CAD Engineer,https://jobs.bdjobs.com/jobdetails.asp?id=1132576&fcatId=-1&ln=1,HYUPSUNG ENG BD CO.LTD,Dhaka,3 to 5 year(s),Bachelor of Science (BSc) in EEE,2023,28-Mar,,,,,,,,,,,,,,
Field Operation Executive,https://jobs.bdjobs.com/jobdetails.asp?id=1132596&fcatId=-1&ln=1,Innovative Creation Ltd,Dhaka,At least 2 year(s),Bachelor degree in any discipline,2023,13-Apr,,,,,,,,,,,,,,
Software Engineer (.Net),https://jobs.bdjobs.com/jobdetails.asp?id=1132604&fcatId=-1&ln=1,ServicEngine Ltd.,Dhaka,1 to 3 year(s),Bachelor of Science (BSc) in CSE,2023,13-Apr,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Artcam CNC Designer,https://jobs.bdjobs.com/jobdetails.asp?id=1132146&fcatId=-1&ln=2,RangpurSteel,????? ???,At least 2 year(s),??? ?? ?? ????,2023,12-Apr,,,,,,,,,,,,,,
Civil Engineer,https://jobs.bdjobs.com/jobdetails.asp?id=1132474&fcatId=-1&ln=2,RangpurSteel,????? ???,At least 2 year(s),Diploma in Civil Engineering from any reputed institution.,2023,13-Apr,,,,,,,,,,,,,,
Graphic Designer,https://jobs.bdjobs.com/jobdetails.asp?id=1132601&fcatId=-1&ln=1,Asia Excel Trading Limited,Anywhere in Bangladesh,1 to 2 year(s),Bachelor of Arts (BA) / Bachelor of Fine Arts (B.F.A) / Bachelor of Computer Application (BCA) / ...,2023,13-Apr,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Credit Officer,https://jobs.bdjobs.com/jobdetails.asp?id=1132599&fcatId=-1&ln=2,Social and Economic Enhancement Programme,"????, ???????, ?????????, ??????????, ???????????, ???????",Na,??????/?????? ??? ???? ?? ?????????? ??????? ? ????? ?????????? ???????/????? ?,2023,27-Mar,,,,,,,,,,,,,,
Junior Credit Officer,https://jobs.bdjobs.com/jobdetails.asp?id=1132597&fcatId=-1&ln=2,Social and Economic Enhancement Programme,"????, ???????, ?????????, ??????????, ???????????, ???????",Na,??????? ???? ????? ??? ?,2023,27-Mar,,,,,,,,,,,,,,
Sr. Executive/Assistant Manager-Internal Audit,https://jobs.bdjobs.com/jobdetails.asp?id=1132594&fcatId=-1&ln=1,TRUST INFINITY FIRMS BANGLADESH,Anywhere in Bangladesh,3 to 5 year(s),Master`s degree in any discipline.,2023,25-Mar,,,,,,,,,,,,,,
Analyst - Sales & Marketing,https://jobs.bdjobs.com/jobdetails.asp?id=1132591&fcatId=-1&ln=1,Rupayan City Uttara,Uttara,At least 8 year(s),MBA in Marketing / Finance,2023,13-Apr,,,,,,,,,,,,,,
Receptionist,https://jobs.bdjobs.com/jobdetails.asp?id=1132589&fcatId=-1&ln=1,Great Field Sports and Fashion Services BD Ltd.,Uttara,1 to 3 year(s),Bachelor degree in any discipline,2023,13-Apr,,,,,,,,,,,,,,
Executive (Female),https://jobs.bdjobs.com/jobdetails.asp?id=1132579&fcatId=-1&ln=1,M/S AL-FAYZAN ENTERPRISE,Dhaka,2 to 5 year(s),BBA and/or MBA in Accounting/ Management.,2023,13-Apr,,,,,,,,,,,,,,
"Executive, Sales & Marketing",https://jobs.bdjobs.com/jobdetails.asp?id=1132585&fcatId=-1&ln=1,M/S AL-FAYZAN ENTERPRISE,Dhaka,3 to 5 year(s),BSc in Chemistry or MBA in Marketing from any Govt. /reputed academic institution.,2023,13-Apr,,,,,,,,,,,,,,
Executive / Incharge - Security,https://jobs.bdjobs.com/jobdetails.asp?id=1132582&fcatId=-1&ln=1,Bitopi Group,"Cumilla, Manikganj",5 to 10 year(s),Bachelor degree in any discipline,2023,30-Mar,,,,,,,,,,,,,,
Executive-Assistant Commercial,https://jobs.bdjobs.com/jobdetails.asp?id=1132588&fcatId=-1&ln=1,Great Field Sports and Fashion Services BD Ltd.,Uttara,2 to 4 year(s),BBA/MBA from any reputed university,2023,13-Apr,,,,,,,,,,,,,,
Commercial Executive,https://jobs.bdjobs.com/jobdetails.asp?id=1132580&fcatId=-1&ln=1,Olila Glass Industries Ltd.,Dhaka,1 to 3 year(s),Bachelor degree in any discipline,2023,13-Apr,,,,,,,,,,,,,,
Head of Engineering (Rank of Manager/ Sr. Manager),https://jobs.bdjobs.com/jobdetails.asp?id=1132539&fcatId=-1&ln=1,Akij Printing & Packages Ltd.,Tongi,At least 15 year(s),Bachelor in Engineering (BEngg) in Mechanical or Electrical Engineering,2023,24-Mar,,,,,,,,,,,,,,
Head of HR & Admin,https://jobs.bdjobs.com/jobdetails.asp?id=1132570&fcatId=-1&ln=1,A Reputed Company,Anywhere in Bangladesh,15 to 25 year(s),Master of Business Administration (MBA),2023,23-Mar,,,,,,,,,,,,,,
Art Teacher,https://jobs.bdjobs.com/jobdetails.asp?id=1131786&fcatId=-1&ln=1,Haileybury Bhaluka,Bhaluka,At least 3 year(s),Master of Arts (MA) in Fine Arts,2023,10-Apr,,,,,,,,,,,,,,
????? ?????? (???????),https://jobs.bdjobs.com/jobdetails.asp?id=1132513&fcatId=-1&ln=2,Big Bag Super Shop,??????????,Na,,2023,20-Mar,,,,,,,,,,,,,,
Bangla Teacher,https://jobs.bdjobs.com/jobdetails.asp?id=1131885&fcatId=-1&ln=1,Haileybury Bhaluka,Bhaluka,At least 3 year(s),Master of Arts (MA) in Languages,2023,10-Apr,,,,,,,,,,,,,,
DGM / GM - Maintenance (Spinning Mills),https://jobs.bdjobs.com/jobdetails.asp?id=1132562&fcatId=-1&ln=1,Jamuna High Tech Spinning Mills Ltd. (Jamuna Group),Habiganj,At least 15 year(s),B.Sc in EEE or Mechanical Engineering from any public University.,2023,31-Mar,,,,,,,,,,,,,,
