Job name,Description Link,Company Name,Location,Experience ,Education Qualification,Year,Deadline,,,,,,,,,,,,,,
Showroom Sales & Marketing officer,https://jobs.bdjobs.com/jobdetails.asp?id=1130531&fcatId=-1&ln=1,MODA ITALY,Paltan,1 to 2 year(s),"SSC, HSC",2023,,,,,,,,,,,,,,,
Software Engineer,https://jobs.bdjobs.com/jobdetails.asp?id=1130466&fcatId=-1&ln=1,Kandaree.com,Dhaka,2 to 3 year(s),Bachelor of Science (BSc),2023,,,,,,,,,,,,,,,
Software Implementation Executive,https://jobs.bdjobs.com/jobdetails.asp?id=1130443&fcatId=-1&ln=1,Kandaree.com,Dhaka,1 to 2 year(s),Bachelor degree in any discipline,2023,,,,,,,,,,,,,,,
Senior Fire Safety Engineer,https://jobs.bdjobs.com/jobdetails.asp?id=1130534&fcatId=-1&ln=1,Excel Technologies,Dhaka,At least 5 year(s),"BSc in Mechanical, Civil, and Electrical from any reputed government institution candidates will ...",2023,,,,,,,,,,,,,,,
Marketing Executive,https://jobs.bdjobs.com/jobdetails.asp?id=1129846&fcatId=-1&ln=1,Kandaree.com,Dhaka,1 to 2 year(s),Bachelor degree in any discipline,2023,,,,,,,,,,,,,,,
"Deputy Manager - Distribution, BOGCL",https://jobs.bdjobs.com/jobdetails.asp?id=1130535&fcatId=-1&ln=1,Bashundhara Group,South Keraniganj,At least 7 year(s),Master Degree from any reputed public university,2023,,,,,,,,,,,,,,,
Sales Executive,https://jobs.bdjobs.com/jobdetails.asp?id=1130370&fcatId=-1&ln=1,Siara Foam Mattress and Bedding Industries,Anywhere in Bangladesh,Na,HSC,2023,,,,,,,,,,,,,,,
MIS Officer,https://jobs.bdjobs.com/jobdetails.asp?id=1130501&fcatId=-1&ln=1,Handicraft Beauty and Fashion Ltd.,Gazipur,1 to 2 year(s),Bachelor degree in any discipline,2023,,,,,,,,,,,,,,,
"Executive, Tax & VAT",https://jobs.bdjobs.com/jobdetails.asp?id=1130529&fcatId=-1&ln=1,A F M Eunus & Associates,Paltan,Na,M. Com in Accounting/Finance from any public/ reputed private Universities with good academic ...,2023,,,,,,,,,,,,,,,
Accounts Officer,https://jobs.bdjobs.com/jobdetails.asp?id=1130526&fcatId=-1&ln=1,A F M Eunus & Associates,Paltan,At least 1 year(s),M. Com or MBA in Accounting/Finance from any public/ reputed private Universities with good ...,2023,,,,,,,,,,,,,,,
Senior Executive - Accounts & Finance and Audit,https://jobs.bdjobs.com/jobdetails.asp?id=1130524&fcatId=-1&ln=1,US-Bangla Airlines,Dhaka,0 to 2 year(s),"Bachelor of Business Administration (BBA) in Accounts, Finance, Banking",2023,,,,,,,,,,,,,,,
Quality Executive,https://jobs.bdjobs.com/jobdetails.asp?id=1130460&fcatId=-1&ln=1,MOTHER APPAREL MANUFACTURE LIMITED,Gazipur,2 to 5 year(s),HSC,2023,,,,,,,,,,,,,,,
Merchandiser / Senior Merchandiser,https://jobs.bdjobs.com/jobdetails.asp?id=1130488&fcatId=-1&ln=1,Sinha Knit Industries Limited,Uttar Khan,At least 7 year(s),"Minimum Graduate/ Hon`s/ Masters/ BBA, MBA, BIFT/ NIFT Merchandising Degree/ Engineering in Textile ...",2023,,,,,,,,,,,,,,,
,,,,,,,job-title-text href,locon-text-d,locon-text-d src,exp-text-d,exp-text-d src,dead-text-s,dead-text-s src,dead-text-d,dead-text-d 2,edu-text-d src,edu-text-d,comp_logo src,,,
??????????????,https://jobs.bdjobs.com/jobdetails.asp?id=1130310&fcatId=-1&ln=2,Hotel Midway Inn,?????????,1 to 2 year(s),Deadline:,,,,,,,,,,,,,,,,
Kitchen Runner - Shared Kitchen,https://jobs.bdjobs.com/jobdetails.asp?id=1130516&fcatId=-1&ln=1,foodpanda Bangladesh Limited,Dhaka,Na,SSC,2023,,,,,,,,,,,,,,,
Medical Documentation Specialist - Night Shift,https://jobs.bdjobs.com/jobdetails.asp?id=1130508&fcatId=-1&ln=1,Augmedix,Dhaka,Na,Bachelor degree in any discipline,2023,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
???? ??????????,https://jobs.bdjobs.com/jobdetails.asp?id=1130492&fcatId=-1&ln=2,Support For Rural Advancement Society,?????????? ?????? ??????,2 to 3 year(s),??????? ?????? ???,2023,,,,,,,,,,,,,,,
????? ??????,https://jobs.bdjobs.com/jobdetails.asp?id=1130504&fcatId=-1&ln=2,Support For Rural Advancement Society,?????????? ?????? ??????,1 to 2 year(s),??????/??? ?? ??/??????,2023,,,,,,,,,,,,,,,
Site Supervisor (Construction-Civil),https://jobs.bdjobs.com/jobdetails.asp?id=1130514&fcatId=-1&ln=1,One Direction Companies Limited,Dhaka,At least 4 year(s),Diploma in Civil Engineering from any reputed Polytechnic Institute.,2023,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
???????? ????? /?? ??????? ???????????,https://jobs.bdjobs.com/jobdetails.asp?id=1130487&fcatId=-1&ln=2,Dorkar Shop BD,??????,Na,,,,,,,,,,,,,,,,,
?????????,https://jobs.bdjobs.com/jobdetails.asp?id=1130474&fcatId=-1&ln=2,EKOTA SHOROJIBI CO-OPERATIVE SOCIETY LTD,????????? ???,Na,,,,,,,,,,,,,,,,,
Medical Officer,https://jobs.bdjobs.com/jobdetails.asp?id=1130509&fcatId=-1&ln=1,Society for Assistance to Hearing Impaired Children (SAHIC),Anywhere in Bangladesh,At least 2 year(s),MBBS recognized by Medical and Dental Council of Bangladesh with successful completion of ...,2023,https://corporate.bdjobs.com/logos/27032_0.jpg,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Project Engineer (Construction-Civil),https://jobs.bdjobs.com/jobdetails.asp?id=1130499&fcatId=-1&ln=1,One Direction Companies Limited,Dhaka,At least 7 year(s),B.Sc in Civil Engineering from any reputed university.,2023,,,,,,,,,,,,,,,
Digital Content Developer,https://jobs.bdjobs.com/jobdetails.asp?id=1130507&fcatId=-1&ln=1,Lecture Publications Limited,Paltan,2 to 3 year(s),Minimum Bachelor Degree from any reputed university (MFA / BFA preferred).,2023,,,,,,,,,,,,,,,
"Senior Nurse, Health and Nutrition, HCMP",https://jobs.bdjobs.com/jobdetails.asp?id=1130493&fcatId=-1&ln=1,BRAC.,"Hatiya, Teknaf, Ukhia",At least 1 year(s),BSc or Diploma in nursing science and midwifery from any recognized university/institution,2023,,,,,,,,,,,,,,,
Executive/ Sr. Executive - Digital Marketing (Wholesaleclub Ltd.),https://jobs.bdjobs.com/jobdetails.asp?id=1130498&fcatId=-1&ln=1,Jamuna Group,Dhaka,3 to 5 year(s),Bachelor of Business Administration (BBA) in Marketing,2023,,,,,,,,,,,,,,,
Sr. Merchandiser,https://jobs.bdjobs.com/jobdetails.asp?id=1130500&fcatId=-1&ln=1,Neptune Style Limited (100% Export Oriented Knit Garments),Mohammadpur,10 to 12 year(s),Graduate in any discipline.,2023,https://corporate.bdjobs.com/logos/36849_1.jpg,,,,,,,,,,,,,,
Programmer,https://jobs.bdjobs.com/jobdetails.asp?id=1130483&fcatId=-1&ln=1,Beximco Communications Ltd.,Dhaka,3 to 5 year(s),Bachelor of Science (BSc) in Computer Science Engineering,2023,https://corporate.bdjobs.com/logos/41552.jpg,,,,,,,,,,,,,,
????? ??????/ ????????,https://jobs.bdjobs.com/jobdetails.asp?id=1130496&fcatId=-1&ln=2,???? ??????? ?? ???? ???????????- ????????,?????????,At least 2 year(s),,,,,,,,,,,,,,,,,
Sales officer,https://jobs.bdjobs.com/jobdetails.asp?id=1130440&fcatId=-1&ln=1,MATHTIA,Anywhere in Bangladesh,Na,HSC in Hsc,2023,,,,,,,,,,,,,,,
"Senior .NET Software Developer, Back-end",https://jobs.bdjobs.com/jobdetails.asp?id=1130448&fcatId=-1&ln=1,eGeneration Limited,Anywhere in Bangladesh,At least 5 year(s),"Bachelor`s degree in computer science, information technology, or a similar field.",2023,,,,,,,,,,,,,,,
Executive/ Sr. Executive - E-commerce (Wholesale Club Ltd.),https://jobs.bdjobs.com/jobdetails.asp?id=1130484&fcatId=-1&ln=1,Jamuna Group,Dhaka,3 to 5 year(s),Bachelor of Business Administration (BBA) in Marketing,2023,,,,,,,,,,,,,,,
Executive/Sr. Executive-HR & Admin,https://jobs.bdjobs.com/jobdetails.asp?id=1130247&fcatId=-1&ln=1,Green Genesis Engineering Limited,Dhaka,1 to 3 year(s),Master of Business Administration (MBA) in HRM,2023,,,,,,,,,,,,,,,
"General Manager, Marketing",https://jobs.bdjobs.com/jobdetails.asp?id=1130468&fcatId=-1&ln=1,Virgo MH Ltd,"Dhaka, Gazipur",10 to 15 year(s),Masters degree in any discipline,2023,,,,,,,,,,,,,,,
Assistant Manager-Production,https://jobs.bdjobs.com/jobdetails.asp?id=1130445&fcatId=-1&ln=1,Consort Flexipack Ltd.,Chattogram,8 to 10 year(s),Bachelor of Science (Pass),2023,https://corporate.bdjobs.com/logos/53696_1.jpg,,,,,,,,,,,,,,
Pattern Master (Sr. Executive)_Sample_Columbia Apparels Limited,https://jobs.bdjobs.com/jobdetails.asp?id=1130473&fcatId=-1&ln=1,M & J Group,Gazipur Sadar,At least 5 year(s),Minimum H.S.C/Graduate or Diploma Certification.,2023,,,,,,,,,,,,,,,
Digital Marketing Specialist,https://jobs.bdjobs.com/jobdetails.asp?id=1130444&fcatId=-1&ln=1,Ranabi.com,Dhaka,At least 2 year(s),Bachelor in Computer Science & Engineering or MBA in Marketing or both (preferred).,2023,,,,,,,,,,,,,,,
"??????? ?????, ALP ???????",https://jobs.bdjobs.com/jobdetails.asp?id=1130491&fcatId=-1&ln=2,Jagorani Chakra Foundation,?????????,Na,??????? ??????/????? ???,2023,https://corporate.bdjobs.com/logos/24575_0.jpg,,,,,,,,,,,,,,
Mobile Application Developer (Android & iOS with Flutter),https://jobs.bdjobs.com/jobdetails.asp?id=1128410&fcatId=-1&ln=1,BSSIT,Anywhere in Bangladesh,1 to 2 year(s),Bachelor of Science (BSc) in CSE,2023,https://corporate.bdjobs.com/logos/63026_0.jpg,,,,,,,,,,,,,,
"Quality Assurance Officer, ALP Project",https://jobs.bdjobs.com/jobdetails.asp?id=1130485&fcatId=-1&ln=1,Jagorani Chakra Foundation,Sunamganj,At least 3 year(s),Master in any discipline,2023,https://corporate.bdjobs.com/logos/24575_0.jpg,,,,,,,,,,,,,,
District Manager (DM),https://jobs.bdjobs.com/jobdetails.asp?id=1130476&fcatId=-1&ln=1,Projahnmo Research Foundation,Manikganj,At least 5 year(s),"MBBS, preferably with Master`s degree in public health (MPH) / Master`s in social science/ ...",2023,https://corporate.bdjobs.com/logos/61643_0.jpg,,,,,,,,,,,,,,
Assistant Relationship Manager - Supply Chain Finance,https://jobs.bdjobs.com/jobdetails.asp?id=1130481&fcatId=-1&ln=1,IPDC Finance Limited,"Chattogram, Dhaka",2 to 6 year(s),Bachelor degree in any discipline,2023,https://corporate.bdjobs.com/logos/47584_1.jpg,,,,,,,,,,,,,,
"Job Placement Officer, ALP Project",https://jobs.bdjobs.com/jobdetails.asp?id=1130480&fcatId=-1&ln=1,Jagorani Chakra Foundation,Sunamganj,At least 3 year(s),Master in any discipline,2023,https://corporate.bdjobs.com/logos/24575_0.jpg,,,,,,,,,,,,,,
"Sr. Officer, Perishable (Retail Operation)",https://jobs.bdjobs.com/jobdetails.asp?id=1130475&fcatId=-1&ln=1,Agora Limited,Uttara,5 to 6 year(s),Bachelor degree in any discipline,2023,,,,,,,,,,,,,,,
"Finance Manager, ALP Project",https://jobs.bdjobs.com/jobdetails.asp?id=1130477&fcatId=-1&ln=1,Jagorani Chakra Foundation,Sunamganj,At least 5 year(s),"Masters in Commerce, CACC will be preferred",2023,https://corporate.bdjobs.com/logos/24575_0.jpg,,,,,,,,,,,,,,
"Vaccinator, Health and Nutrition, HCMP",https://jobs.bdjobs.com/jobdetails.asp?id=1130465&fcatId=-1&ln=1,BRAC.,"Teknaf, Ukhia",At least 1 year(s),Diploma in Medical Faculty from any recognized university/institution,2023,,,,,,,,,,,,,,,
Service Executive - Supply Chain Finance,https://jobs.bdjobs.com/jobdetails.asp?id=1130470&fcatId=-1&ln=1,IPDC Finance Limited,"Chattogram, Dhaka",2 to 3 year(s),Bachelor degree in any discipline,2023,https://corporate.bdjobs.com/logos/47584_1.jpg,,,,,,,,,,,,,,
"Technical Coordinator, ALP Project",https://jobs.bdjobs.com/jobdetails.asp?id=1130472&fcatId=-1&ln=1,Jagorani Chakra Foundation,Sunamganj,At least 6 year(s),B.Sc in Engineering/ Diploma in Engineering.,2023,https://corporate.bdjobs.com/logos/24575_0.jpg,,,,,,,,,,,,,,
"Senior Officer, Strategy and Business Development",https://jobs.bdjobs.com/jobdetails.asp?id=1130469&fcatId=-1&ln=1,bKash Ltd.,Dhaka,Na,Graduate from any  Public &  Private University,2023,,,,,,,,,,,,,,,
???? ??????????,https://jobs.bdjobs.com/jobdetails.asp?id=1129978&fcatId=-1&ln=2,"Mohila Bohumukhi Shikkha Kendra (MBSK), Dinajpur","????????, ?????????, ?????, ?????????",At least 4 year(s),,,,,,,,,,,,,,,,,
????? ?????????,https://jobs.bdjobs.com/jobdetails.asp?id=1129965&fcatId=-1&ln=2,"Mohila Bohumukhi Shikkha Kendra (MBSK), Dinajpur",?????????? ?????? ??????,At least 5 year(s),,,,,,,,,,,,,,,,,
?????? ?? ??????????,https://jobs.bdjobs.com/jobdetails.asp?id=1129955&fcatId=-1&ln=2,"Mohila Bohumukhi Shikkha Kendra (MBSK), Dinajpur","????????, ?????????, ?????, ?????????",At least 7 year(s),,,,,,,,,,,,,,,,,
Sub Assistant Engineer/Assistant Engineer - Operation (Packing),https://jobs.bdjobs.com/jobdetails.asp?id=1130255&fcatId=-1&ln=1,Akij Resources Limited,Narayanganj,2 to 5 year(s),Bachelor of Science (BSc) in Mechanical Engineering,2023,,,,,,,,,,,,,,,
,,,,,,,"""job-title-text",comp-name-text,locon-text-d,locon-text-d src,edu-text-d src,edu-text-d,exp-text-d,exp-text-d src,dead-text-s,dead-text-s src,dead-text-d,dead-text-d 2,edu-text-d 2,,
Asst. Registrar (Ophthalmology),https://jobs.bdjobs.com/jobdetails.asp?id=1130467&fcatId=-1&ln=1,Institute of Community Ophthalmology (ICO),Chattogram,Na,DCO/ DO / MCPS,2023,,,,,,,,,,,,,,,
Registrar (Opthalmology),https://jobs.bdjobs.com/jobdetails.asp?id=1130464&fcatId=-1&ln=1,Institute of Community Ophthalmology (ICO),Chattogram,Na,FCPS/ MS (Ophthalmology),2023,,,,,,,,,,,,,,,
Marketing Manager,https://jobs.bdjobs.com/jobdetails.asp?id=1130403&fcatId=-1&ln=1,pbdSoft,"Dhaka, Uttara",2 to 5 year(s),Master of Business Management (MBM),2023,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Sales Executive (Software),https://jobs.bdjobs.com/jobdetails.asp?id=1130401&fcatId=-1&ln=1,pbdSoft,"Dhaka, Uttara",1 to 2 year(s),,2023,,,,,,,,,,,,,,,
"Technical Assistant -Triage, Health and Nutrition, HCMP",https://jobs.bdjobs.com/jobdetails.asp?id=1130458&fcatId=-1&ln=1,BRAC.,"Teknaf, Ukhia",At least 1 year(s),Diploma in Medical Faculty from any recognized university/institution,2023,,,,,,,,,,,,,,,
Programmer (.Net),https://jobs.bdjobs.com/jobdetails.asp?id=1130408&fcatId=-1&ln=1,pbdSoft,"Dhaka, Uttara",1 to 2 year(s),Bachelor of Science (BSc) in CSE,2023,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
IoT Technical Support Engineer (Bangladesh),https://jobs.bdjobs.com/jobdetails.asp?id=1128435&fcatId=-1&ln=1,DUPNO International Limted,Dhaka,1 to 3 year(s),Bachelor of Science (BSc) in Electrical & Electronic Engineering,2023,,,,,,,,,,,,,,,
?????? ????????????,https://jobs.bdjobs.com/jobdetails.asp?id=1130456&fcatId=-1&ln=2,Rangpur City Institute of Technology (RCIT),????? ???,Na,????????-??-???????????? ??? ???????? ?? ????????? ???????????? ????,2023,,,,,,,,,,,,,,,
Junior Officer-VAT & Tax,https://jobs.bdjobs.com/jobdetails.asp?id=1130452&fcatId=-1&ln=1,Crown Cement Concrete and Building Products Ltd.,Anywhere in Bangladesh,Na,Bachelor degree in any discipline,2023,Masters degree in any discipline,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Intern - Business Development,https://jobs.bdjobs.com/jobdetails.asp?id=1130412&fcatId=-1&ln=1,Monarch Mart Ltd.,Motijheel,Na,Bachelor degree in any discipline from well-reputed universities.,2023,,,,,,,,,,,,,,,
Customer Acquisition Specialist,https://jobs.bdjobs.com/jobdetails.asp?id=1129817&fcatId=-1&ln=1,Hishabee Technologies Limited,Dhaka,0 to 1 year(s),Bachelor of Business Administration (BBA) in Marketing,2023,Bachelor degree in any discipline. ...,,,,,,,,,,,,,,
Engineer - Sales (Generator Spare Parts & Lube Oil),https://jobs.bdjobs.com/jobdetails.asp?id=1130404&fcatId=-1&ln=1,Jakson International Limited,Dhaka,3 to 6 year(s),B.Sc. in Electrical & Electronic Engineering or Mechanical Engineering from a reputed ...,2023,,,,,,,,,,,,,,,
Store Officer - Service Point,https://jobs.bdjobs.com/jobdetails.asp?id=1130450&fcatId=-1&ln=1,Walton Hi-Tech Industries PLC.,"Chattogram, Faridpur, Kishoreganj, Mongla",At least 1 year(s),BBS/BBA in Accounting/Finance/Management from any reputed Institute.,2023,,,,,,,,,,,,,,,
Executive - Accounts & Finance,https://jobs.bdjobs.com/jobdetails.asp?id=1130418&fcatId=-1&ln=1,Bdjobs.com Limited,Dhaka,0 to 1 year(s),Bachelor of Commerce (BCom),2023,MBA/ M.Com (Major in Accounting),,,,,,,,,,,,,,
Inventory Officer,https://jobs.bdjobs.com/jobdetails.asp?id=1130442&fcatId=-1&ln=1,Sultan`s Dine,Anywhere in Bangladesh,Na,,2023,,,,,,,,,,,,,,,
Structural Design Engineer,https://jobs.bdjobs.com/jobdetails.asp?id=1130436&fcatId=-1&ln=1,Bright Design Consultants & Construction,Gazipur Sadar,At least 1 year(s),Bachelor in Engineering (BEngg),2023,B. Sc. Civil Engineer,,,,,,,,,,,,,,
"?????? ?????????? ????????????, PACE ???????",https://jobs.bdjobs.com/jobdetails.asp?id=1130441&fcatId=-1&ln=2,Jagorani Chakra Foundation,?????,At least 2 year(s),??????? ?????/???? ???????? ????? ?????????? ??? ???,2023,,,,,,,,,,,,,,,
Pharmacy Sales Assistant,https://jobs.bdjobs.com/jobdetails.asp?id=1130437&fcatId=-1&ln=1,Farabi General Hospital,Dhaka,At least 2 year(s),Diploma in Pharmacy,2023,,,,,,,,,,,,,,,
Senior AI/ML Engineer,https://jobs.bdjobs.com/jobdetails.asp?id=1130429&fcatId=-1&ln=1,Genweb2 Limited,Anywhere in Bangladesh,At least 5 year(s),Bachelor of Science (BSc) in Major in Computer Science and Engineering,2023,Master of Science (MSc) in ...,,,,,,,,,,,,,,
Store Officer in Auto Parts Industry,https://jobs.bdjobs.com/jobdetails.asp?id=1130434&fcatId=-1&ln=1,SJM Industries Ltd.,Ashulia,Na,Bachelor degree in any discipline,2023,Diploma in Commerce,,,,,,,,,,,,,,
Assistant Professor of Business Administration,https://jobs.bdjobs.com/jobdetails.asp?id=1130430&fcatId=-1&ln=1,World University of Bangladesh,Dhaka,At least 5 year(s),PhD in Business Administration.,2023,Must have a PhD degree or minimum MPhil degree in Business ...,,,,,,,,,,,,,,
Account Officer/ Accountant in Auto Parts Industry,https://jobs.bdjobs.com/jobdetails.asp?id=1130433&fcatId=-1&ln=1,SJM Industries Ltd.,Ashulia,At least 2 year(s),Bachelor of Commerce (BCom) in Accounting,2023,,,,,,,,,,,,,,,
Manager (Heavy Equipment Maintenance),https://jobs.bdjobs.com/jobdetails.asp?id=1130419&fcatId=-1&ln=1,KSRM Group of Industries,Sitakunda,8 to 12 year(s),Diploma/ B.Sc in (Automobile/Mechanical/Electrical/Marine) Engineering.,2023,,,,,,,,,,,,,,,
Sr. Executive - HR & Admin in Auto Parts Industry,https://jobs.bdjobs.com/jobdetails.asp?id=1130426&fcatId=-1&ln=1,SJM Industries Ltd.,Ashulia,At least 5 year(s),Master of Business Administration (MBA) in Human Resource Management,2023,,,,,,,,,,,,,,,
Assistant Professor of Civil Engineering,https://jobs.bdjobs.com/jobdetails.asp?id=1130424&fcatId=-1&ln=1,World University of Bangladesh,Dhaka,At least 5 year(s),PhD in Civil Engg.,2023,Must have a PhD degree or minimum MPhil degree in Civil Engineering with 4 years ...,,,,,,,,,,,,,,
?????? ??????,https://jobs.bdjobs.com/jobdetails.asp?id=1130414&fcatId=-1&ln=2,Icon Dreams School,????? ???,Na,????????? ????? ??????/???????????,2023,,,,,,,,,,,,,,,
Quality Assurance Inspector in Auto Parts Industry,https://jobs.bdjobs.com/jobdetails.asp?id=1130422&fcatId=-1&ln=1,SJM Industries Ltd.,Ashulia,At least 2 year(s),Diploma in Mechanical in Mechanical Engineering,2023,Bachelor of Science (BSc) in Physics,,,,,,,,,,,,,,
Technical Document Writer,https://jobs.bdjobs.com/jobdetails.asp?id=1130421&fcatId=-1&ln=1,Genweb2 Limited,Anywhere in Bangladesh,At least 5 year(s),Bachelor of Science (BSc) in Major in Computer Science and Engineering,2023,,,,,,,,,,,,,,,
Junior Recruiter,https://jobs.bdjobs.com/jobdetails.asp?id=1130237&fcatId=-1&ln=1,Steadfast Communications,Anywhere in Bangladesh,Na,Bachelor degree in any discipline in Human Resource Management,2023,,,,,,,,,,,,,,,
Tea Bag/ Machine Operator (City Tea Estates Limited ),https://jobs.bdjobs.com/jobdetails.asp?id=1130411&fcatId=-1&ln=1,City Group,Rupganj,3 to 5 year(s),SSC,2023,JSC,,,,,,,,,,,,,,
Assistant Manager - Quality in Auto Parts Industry,https://jobs.bdjobs.com/jobdetails.asp?id=1130417&fcatId=-1&ln=1,SJM Industries Ltd.,Ashulia,At least 5 year(s),Diploma in Mechanical,2023,,,,,,,,,,,,,,,
Research Scientist,https://jobs.bdjobs.com/jobdetails.asp?id=1130405&fcatId=-1&ln=1,Genweb2 Limited,Dhaka,At least 20 year(s),PhD in Major in Computer Science  Engineering including AI,2023,Researches in machine learning and deep ...,,,,,,,,,,,,,,
Sr. Consultant / Consultant (Sales),https://jobs.bdjobs.com/jobdetails.asp?id=1130308&fcatId=-1&ln=1,Jeep Bangladesh,Uttara,2 to 6 year(s),Bachelor degree in any discipline,2023,,,,,,,,,,,,,,,
Territory Executive,https://jobs.bdjobs.com/jobdetails.asp?id=1130397&fcatId=-1&ln=1,PCF Group,"Barishal, Faridpur, Madaripur, Pabna, Shariatpur",1 to 2 year(s),At least Undergraduate Degree.,2023,Agriculture/Veterinary/Fisheries Degree holders are highly ...,,,,,,,,,,,,,,
Chef,https://jobs.bdjobs.com/jobdetails.asp?id=1130172&fcatId=-1&ln=1,Handicraft Beauty and Fashion Ltd.,Gazipur,3 to 5 year(s),Diploma in Hotel Management,2023,HSC,,,,,,,,,,,,,,
Customer Service Officer,https://jobs.bdjobs.com/jobdetails.asp?id=1130416&fcatId=-1&ln=1,Digicon Technologies Ltd.,Tejgaon,Na,Honours running students & Diploma completed candidates are also encouraged to apply.,2023,Graduate ...,,,,,,,,,,,,,,
Executive - Compliance,https://jobs.bdjobs.com/jobdetails.asp?id=1130194&fcatId=-1&ln=1,Argon Spinning Limited,Habiganj,2 to 5 year(s),Bachelor degree in any discipline.,2023,,,,,,,,,,,,,,,
Executive - Planning,https://jobs.bdjobs.com/jobdetails.asp?id=1130286&fcatId=-1&ln=1,Argon Spinning Limited,Habiganj,3 to 5 year(s),"Bachelor of Science (BSc) in Textile, IPE",2023,Masters in Engineering (MEng) in Textile Engineering ...,,,,,,,,,,,,,,
Officer - Fire & Safety,https://jobs.bdjobs.com/jobdetails.asp?id=1130402&fcatId=-1&ln=1,Birds Group,Mirzapur,2 to 6 year(s),Bachelor degree in any discipline,2023,Candidates should have Six months of Fire Safety Manager course ...,,,,,,,,,,,,,,
????????,https://jobs.bdjobs.com/jobdetails.asp?id=1130400&fcatId=-1&ln=2,Sajeeb Group,????,At least 2 year(s),??????? ??.??.?? ?? ??????,2023,,,,,,,,,,,,,,,
Social Media Manager,https://jobs.bdjobs.com/jobdetails.asp?id=1132482&fcatId=-1&ln=1,Alishan Beauty Parlour Ltd,Chattogram,0 to 3 year(s),,,,,,,,,,,,,,,,,
Vocational Engineer,https://jobs.bdjobs.com/jobdetails.asp?id=1132904&fcatId=-1&ln=1,A Well Established 100% Export Oriented Frozen Shrimp Processing Plant,Chattogram,Na,Vocational Engineering & mechanical.,2023,,,,,,,,,,,,,,,
Branch Manager,https://jobs.bdjobs.com/jobdetails.asp?id=1132900&fcatId=-1&ln=1,Prime Insurance Company Limited.,Anywhere in Bangladesh,At least 15 year(s),Masters/MBA/M.Com/MSS/BA/Graduation,2023,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
SVP/ DVP (Finance & Accounts Deptt.),https://jobs.bdjobs.com/jobdetails.asp?id=1132868&fcatId=-1&ln=1,Prime Insurance Company Limited.,Dhaka,8 to 10 year(s),MBA/MBS/M.Com in Accounting/Finance;,2023,,,,,,,,,,,,,,,
Chief Finance Officer (CFO),https://jobs.bdjobs.com/jobdetails.asp?id=1132865&fcatId=-1&ln=1,Prime Insurance Company Limited.,Dhaka,At least 5 year(s),MBA/MBS/M.Com in Accounting/Finance;,2023,,,,,,,,,,,,,,,
Head of Underwriting Department.,https://jobs.bdjobs.com/jobdetails.asp?id=1132864&fcatId=-1&ln=1,Prime Insurance Company Limited.,Dhaka,At least 15 year(s),Masters/MBA/M.Com/MSS,2023,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Head of Claims,https://jobs.bdjobs.com/jobdetails.asp?id=1132858&fcatId=-1&ln=1,Prime Insurance Company Limited.,Dhaka,At least 15 year(s),Masters/MBA/M.Com/MSS,2023,,,,,,,,,,,,,,,
Software Engineer- II (Frontend),https://jobs.bdjobs.com/jobdetails.asp?id=1132808&fcatId=-1&ln=1,Medina Tech,Anywhere in Bangladesh,At least 3 year(s),Bachelor in Engineering (BEngg),2023,https://corporate.bdjobs.com/logos/83796_0.jpg,,,,,,,,,,,,,,
Consultant (General Surgery),https://jobs.bdjobs.com/jobdetails.asp?id=1132899&fcatId=-1&ln=1,Ashulia Women and Children Hospital,Ashulia,3 to 5 year(s),FCPS/ MS,2023,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Mechanical Engineer,https://jobs.bdjobs.com/jobdetails.asp?id=1132895&fcatId=-1&ln=1,A Well Established 100% Export Oriented Frozen Shrimp Processing Plant,Chattogram,Na,"Diploma in Mechanical Engineering,",2023,,,,,,,,,,,,,,,
Sustainability Officer,https://jobs.bdjobs.com/jobdetails.asp?id=1132887&fcatId=-1&ln=1,Reputed Knit Composite Factory.,Anywhere in Bangladesh,0 to 4 year(s),B.Sc/M.Sc in Environmental Science from any reputed public university.,2023,,,,,,,,,,,,,,,
Business Development Manager,https://jobs.bdjobs.com/jobdetails.asp?id=1132871&fcatId=-1&ln=1,Safe Daycare and Pre-School,Dhaka,At least 8 year(s),Honors/Masters from any discipline.,2023,https://corporate.bdjobs.com/logos/110746_0.png,,,,,,,,,,,,,,
Manager - Supply Chain Management/ Procurement,https://jobs.bdjobs.com/jobdetails.asp?id=1132867&fcatId=-1&ln=1,Silver Line Group,Gulshan,10 to 14 year(s),Master of Business Administration (MBA) in Supply Chain Management/Apparel ...,2023,,,,,,,,,,,,,,,
