Job Title,Description Link,Company Name,Location,Experience ,Education Qualification,Year,Deadline,Date Posted,Source,location,desc,Company name,Deadline ,Job Type,Salary Amount
????????,https://jobs.bdjobs.com/jobdetails.asp?id=1125605&fcatId=-1&ln=2,A Reputed Garments Group Of Companies,????,At least 6 year(s),JSC / SSC,2023,,,BD Jobs,,,,,,
mobile apps developer (flutter),https://jobs.bdjobs.com/jobdetails.asp?id=1125545&fcatId=-1&ln=1,Momen Real Estates Limited,Banani,2 to 3 year(s),At least BSc degree in Computer Science and Engineering (CSE) from any reputed university.,2023,,,BD Jobs,,,,,,
data artist (associate) - night shift,https://jobs.bdjobs.com/jobdetails.asp?id=1125591&fcatId=-1&ln=1,Catalyst Solutions (Sister Organization Of Adiva Graphics),"Chattogram, Dhaka",Na,"Bachelor of Science (BSc) in EEE, CSE, ETE, ECE, CE, Physics, IT, Statistics",2023,,,BD Jobs,,,,,,
data artist (associate) (morning & afternoon shift),https://jobs.bdjobs.com/jobdetails.asp?id=1125589&fcatId=-1&ln=1,Catalyst Bpo (Pvt.) Ltd.,"Chattogram, Dhaka",Na,"Bachelor of Science (BSc) in EEE, CSE, ETE, ECE, CE, Physics, IT, Statistics",2023,,,BD Jobs,,,,,,
it associate,https://jobs.bdjobs.com/jobdetails.asp?id=1125585&fcatId=-1&ln=1,Catalyst Solutions (Sister Organization Of Adiva Graphics),Dhaka,Na,Minimum Bachelor`s degree in CSE/ IT/ ETE relevant subject from any reputed university.,2023,,,BD Jobs,,,,,,
smartphone application developer,https://jobs.bdjobs.com/jobdetails.asp?id=1125556&fcatId=-1&ln=1,"Xor Co., Ltd.",Dhaka,2 to 4 year(s),Bachelor of Science (BSc) in Computer Science & Engineering,2023,,,BD Jobs,,,,,,
"finishing manager (knit garments, ashulia)",https://jobs.bdjobs.com/jobdetails.asp?id=1125575&fcatId=-1&ln=1,A Leadin Knit Garments Group Of Companies,Ashulia,At least 10 year(s),HSC/ Degree,2023,,,BD Jobs,,,,,,
assistant general manager - operation (garments accessories),https://jobs.bdjobs.com/jobdetails.asp?id=1125562&fcatId=-1&ln=1,Epyllion Group,Narayanganj,At least 15 year(s),BSC in IPE from any reputed university or Graduation in any discipline.,2023,,,BD Jobs,,,,,,
customer service representative,https://jobs.bdjobs.com/jobdetails.asp?id=1125574&fcatId=-1&ln=1,Digicon Technologies Ltd,Motijheel,Na,Must be Graduated from any reputed University/ Institutions.,2023,,,BD Jobs,,,,,,
???????? ????? ??????,https://jobs.bdjobs.com/jobdetails.asp?id=1125317&fcatId=-1&ln=2,?-?????????.??,????,At least 1 year(s),Unknown,2023,,,BD Jobs,,,,,,
security guard (female),https://jobs.bdjobs.com/jobdetails.asp?id=1125551&fcatId=-1&ln=1,Sentry Security Services Ltd. (A Sister Concern Of Sentry Group),Dhaka,At least 2 year(s),Minimum S.S.C,2023,,,BD Jobs,,,,,,
sr. executive  - qa / nqa (kint garments),https://jobs.bdjobs.com/jobdetails.asp?id=1125569&fcatId=-1&ln=1,A Well Reputed Knit Garments Group Of Companies,Ashulia,4 to 5 year(s),Bachelor degree in any discipline,2023,,,BD Jobs,,,,,,
sales engineer for pre-fabricated steel building,https://jobs.bdjobs.com/jobdetails.asp?id=1125568&fcatId=-1&ln=1,Metal Infrastructures & Constructions Ltd .,Dhaka,2 to 4 year(s),"B.Sc. in Civil, any reputed university",2023,,,BD Jobs,,,,,,
asst. manager (business development) for pre-fabricated steel building,https://jobs.bdjobs.com/jobdetails.asp?id=1125563&fcatId=-1&ln=1,Metal Infrastructures & Constructions Ltd .,Dhaka,2 to 5 year(s),"B.Sc.(hons), BBA,MBA,from any reputed university",2023,,,BD Jobs,,,,,,
deputy manager - qa (head office based),https://jobs.bdjobs.com/jobdetails.asp?id=1125555&fcatId=-1&ln=1,The Largest Knit Garments Group Of Companies In Bangladesh,Dhaka,8 to 12 year(s),Bachelor in any discipline with good command on English (Both written and spoken),2023,,,BD Jobs,,,,,,
site qa,https://jobs.bdjobs.com/jobdetails.asp?id=1125046&fcatId=-1&ln=1,New Hope Animal Nutrition Bangladesh Company Ltd.,Bogura,At least 1 year(s),"MA/MBA/MSC degree or above, major in animal science, animal nutrition, food science, chemistry or ...",2023,,,BD Jobs,,,,,,
ophthalmologist,https://jobs.bdjobs.com/jobdetails.asp?id=1124900&fcatId=-1&ln=1,Dhaka Eye Care Hospital,Uttara West,At most 4 year(s),Fellowship of the College of Physicians and Surgeons (FCPS) in Ophthalmology,2023,,,BD Jobs,,,,,,
raw material controller,https://jobs.bdjobs.com/jobdetails.asp?id=1125110&fcatId=-1&ln=1,New Hope Animal Nutrition Bangladesh Company Ltd.,Bogura,At least 1 year(s),"MA/MBA/MSC degree or above, major in animal science, animal nutrition, food science, chemistry or ...",2023,,,BD Jobs,,,,,,
sr. student counsellor (usa & canada),https://jobs.bdjobs.com/jobdetails.asp?id=1125532&fcatId=-1&ln=1,Edvoy Bangladesh,Dhaka,At least 2 year(s),Bachelor / Master`s degree in any discipline.,2023,,,BD Jobs,,,,,,
registrar/ consultant anesthesiology,https://jobs.bdjobs.com/jobdetails.asp?id=1125529&fcatId=-1&ln=3,Shaheed Monsur Ali Medical College And Hospital,Uttara,At least 3 year(s),Completed university degree in medical science (MBBS).,2023,,,BD Jobs,,,,,,
"executive, it & e-commerce",https://jobs.bdjobs.com/jobdetails.asp?id=1125499&fcatId=-1&ln=1,Ngen It,Dhaka,0 to 2 year(s),Bachelor of Business Administration (BBA) in Business Administration,2023,,,BD Jobs,,,,,,
team leader (legal & compliance),https://jobs.bdjobs.com/jobdetails.asp?id=1125516&fcatId=-1&ln=1,Deshbandhu Group,Banani,10 to 12 year(s),"Bachelor in Law (LLB), Master in Law (LLM).",2023,,,BD Jobs,,,,,,
accountant cum admin officer,https://jobs.bdjobs.com/jobdetails.asp?id=1125237&fcatId=-1&ln=1,Pro Info & Edu Consultant,Dhaka,At least 2 year(s),Bachelor in Commerce (Accounting),2023,,,BD Jobs,,,,,,
"manager, mechanical maintenance (garments division)",https://jobs.bdjobs.com/jobdetails.asp?id=1125467&fcatId=-1&ln=1,Barnali Textile & Printing Industries (Pvt.) Ltd.,Narayanganj,At least 7 year(s),Diploma in Mechanical/Technical Education in Machine Maintenance.,2023,,,BD Jobs,,,,,,
software sales manager,https://jobs.bdjobs.com/jobdetails.asp?id=1125455&fcatId=-1&ln=1,Bysl Global Technology Group,Gulshan,5 to 8 year(s),"Bachelor`s degree in Computer Science, Information Technology, Engineering, or a related feld is a ...",2023,,,BD Jobs,,,,,,
software marketing manager,https://jobs.bdjobs.com/jobdetails.asp?id=1125454&fcatId=-1&ln=1,Bysl Global Technology Group,Gulshan,At least 5 year(s),"Bachelor`s degree in Computer Science, Information Technology, Engineering, or a related feld is a ...",2023,,,BD Jobs,,,,,,
market research analyst (it),https://jobs.bdjobs.com/jobdetails.asp?id=1125451&fcatId=-1&ln=1,Bysl Global Technology Group,Gulshan,3 to 5 year(s),"Bachelor`s degree in Computer Science, Information Technology, Engineering, or a related feld is a ...",2023,,,BD Jobs,,,,,,
agm/ dgm (head of boq & estimation),https://jobs.bdjobs.com/jobdetails.asp?id=1124205&fcatId=-1&ln=1,A Well Reputed Real Estate Company,Dhaka,At least 15 year(s),Bachelor of Science (B. Sc) in Civil Engineering,2023,,,BD Jobs,,,,,,
quality assurance manager,https://jobs.bdjobs.com/jobdetails.asp?id=1125450&fcatId=-1&ln=1,Barnali Textile & Printing Industries (Pvt.) Ltd.,Narayanganj,At least 10 year(s),Graduate in any discipline,2023,,,BD Jobs,,,,,,
head of audit - jamuna electronics and automobiles,https://jobs.bdjobs.com/jobdetails.asp?id=1125819&fcatId=-1&ln=1,Jamuna Group,Anywhere in Bangladesh,At least 6 year(s),Master of Business Administration (MBA) in Accounting or Finance,2023,,,BD Jobs,,,,,,
officer (accounts & finance),https://jobs.bdjobs.com/jobdetails.asp?id=1125784&fcatId=-1&ln=1,Winpower Group,Dhaka,2 to 5 year(s),Bachelor of Business Administration (BBA) in Accounting,2023,,,BD Jobs,,,,,,
executive - hr (for garments accessories),https://jobs.bdjobs.com/jobdetails.asp?id=1125813&fcatId=-1&ln=1,Epyllion Group,Narayanganj,3 to 5 year(s),MBA in HRM from reputed university.,2023,,,BD Jobs,,,,,,
executive - it,https://jobs.bdjobs.com/jobdetails.asp?id=1125814&fcatId=-1&ln=1,Jotun Bangladesh Ltd.,Dhaka,Na,Graduate in any stream / Degree in Computer engineering with IT background.,2023,,,BD Jobs,,,,,,
website designer and developer,https://jobs.bdjobs.com/jobdetails.asp?id=1125811&fcatId=-1&ln=1,Luxerior,Gulshan,At least 1 year(s),"Experience with HTML, CSS, and JavaScript",2023,,,BD Jobs,,,,,,
sales & marketing executive,https://jobs.bdjobs.com/jobdetails.asp?id=1125809&fcatId=-1&ln=1,Luxerior,Gulshan,At least 2 year(s),Bachelor degree in any discipline,2023,,,BD Jobs,,,,,,
call center agent (day shift) - english & hindi,https://jobs.bdjobs.com/jobdetails.asp?id=1125808&fcatId=-1&ln=1,Asl Bpo,Uttara,Na,"We will prefer candidates from English Medium Background, or those who have good IELTS Score (8 or ...",2023,,,BD Jobs,,,,,,
sr. executive/ asst. manager (sales),https://jobs.bdjobs.com/jobdetails.asp?id=1125798&fcatId=-1&ln=1,Fortress Holdings Ltd.,Dhaka,3 to 7 year(s),Bachelor of Business Administration (BBA) in Markating,2023,,,BD Jobs,,,,,,
"executive, inventory & internal management",https://jobs.bdjobs.com/jobdetails.asp?id=1125793&fcatId=-1&ln=1,Alphatek Engineering Limited,Demra,At least 2 year(s),Graduate from any discipline from any public university.,2023,,,BD Jobs,,,,,,
sr. executive/ asst. manager,https://jobs.bdjobs.com/jobdetails.asp?id=1125790&fcatId=-1&ln=1,Liz Fashion Industry Ltd.,Anywhere in Bangladesh,10 to 15 year(s),Bachelor in Engineering (BEngg) in Textile Technology,2023,,,BD Jobs,,,,,,
"production reporter (garments factory, ashulia & uttara)",https://jobs.bdjobs.com/jobdetails.asp?id=1125787&fcatId=-1&ln=1,A Reputed Knit Garments Group Of Company,"Uttar Khan, Ashulia",2 to 3 year(s),Bachelor degree in any discipline,2023,,,BD Jobs,,,,,,
manager - nero fabric & elastic,https://jobs.bdjobs.com/jobdetails.asp?id=1125641&fcatId=-1&ln=1,Liz Fashion Industry Ltd.,Anywhere in Bangladesh,8 to 15 year(s),Bachelor in Engineering (BEngg) in Textile Technology,2023,,,BD Jobs,,,,,,
???? ??????,https://jobs.bdjobs.com/jobdetails.asp?id=1125766&fcatId=-1&ln=2,Av Overseas,????????,1 to 2 year(s),??????? ????? ?????? ????,2023,,,BD Jobs,,,,,,
territory sales officer,https://jobs.bdjobs.com/jobdetails.asp?id=1125405&fcatId=-1&ln=1,Milki Ice Cream Industries,"Barishal, Dhaka, Faridpur, Gopalganj, Jashore, Jhenaidah, Magura, Satkhira, Khulna Sadar",3 to 5 year(s),Bachelor of Business Administration (BBA) in Marketing,2023,,,BD Jobs,,,,,,
travel consultant,https://jobs.bdjobs.com/jobdetails.asp?id=1125261&fcatId=-1&ln=1,Travelo,Dhaka,0 to 2 year(s),Bachelor degree in any discipline,2023,,,BD Jobs,,,,,,
?????? (???????? ???????? ?????),https://jobs.bdjobs.com/jobdetails.asp?id=1125755&fcatId=-1&ln=2,???? ??? ???? ??????? ???????,??????,At least 3 year(s),???????? ?????????? ??? ?????? ?????? ?????,2023,,,BD Jobs,,,,,,
student counselor/ senior student counselor  - canada /australia,https://jobs.bdjobs.com/jobdetails.asp?id=1125751&fcatId=-1&ln=1,New Way Consultancy (Nwc),"Dhaka, Banani",1 to 3 year(s),Bachelor degree in any discipline,2023,,,BD Jobs,,,,,,
business development executive (female),https://jobs.bdjobs.com/jobdetails.asp?id=1125492&fcatId=-1&ln=1,Acquaint Technologies Ltd,Dhaka,1 to 2 year(s),Bachelor of Business Administration (BBA) in Marketing or relevant subject,2023,,,BD Jobs,,,,,,
"supply chain - warehouse, store & inventory",https://jobs.bdjobs.com/jobdetails.asp?id=1125744&fcatId=-1&ln=1,Shuruchi Group,Chattogram,1 to 2 year(s),Bachelor / Masters.,2023,,,BD Jobs,,,,,,
ps to chairman,https://jobs.bdjobs.com/jobdetails.asp?id=1125449&fcatId=-1&ln=1,Kai- Altech Group,Dhaka,At least 5 year(s),"Master of Business Administration (MBA) in Finance, Banking, Accounting, Management",2023,,,BD Jobs,,,,,,
business development manager (service),https://jobs.bdjobs.com/jobdetails.asp?id=1125616&fcatId=-1&ln=1,Orient Bd Limited,Dhaka,10 to 15 year(s),Master of Science (MSc) in EEE,2023,,,BD Jobs,,,,,,
assistant engineer (design),https://jobs.bdjobs.com/jobdetails.asp?id=1125078&fcatId=-1&ln=1,Reverie Power & Automation Engineering Ltd.,Tejgaon Industrial Area,At least 2 year(s),Bachelor of Science (BSc) in EEE,2023,,,BD Jobs,,,,,,
"executive, customer service (call center)",https://jobs.bdjobs.com/jobdetails.asp?id=1125743&fcatId=-1&ln=1,Vivo Bangladesh (Head Office),Dhaka,1 to 2 year(s),Bachelor degree in any discipline,2023,,,BD Jobs,,,,,,
construction engineer,https://jobs.bdjobs.com/jobdetails.asp?id=1125642&fcatId=-1&ln=1,Prudential Consultant,Anywhere in Bangladesh,5 to 10 year(s),Bachelor of Science (BSc) in Civil Engineering,2023,,,BD Jobs,,,,,,
deputy general manager - operation (knit garments),https://jobs.bdjobs.com/jobdetails.asp?id=1125723&fcatId=-1&ln=1,A 100% Export Oriented Knit Composite Company,Gazipur,12 to 15 year(s),Minimum University graduation.,2023,,,BD Jobs,,,,,,
marketing manager,https://jobs.bdjobs.com/jobdetails.asp?id=1125725&fcatId=-1&ln=1,Hao Hua Trading Company Limited,Anywhere in Bangladesh,3 to 5 year(s),M.Sc / B. Sc. in Textile Engineering.,2023,,,BD Jobs,,,,,,
commercial officer,https://jobs.bdjobs.com/jobdetails.asp?id=1125445&fcatId=-1&ln=1,Kayra Textiles Limited,Dhaka,At least 5 year(s),Master of Business Administration (MBA),2023,,,BD Jobs,,,,,,
senior executive - manpower,https://jobs.bdjobs.com/jobdetails.asp?id=1125697&fcatId=-1&ln=1,Zilani Travels,Banani,3 to 6 year(s),Graduation/ Post-Graduation in Business/ Marketing from any reputed,2023,,,BD Jobs,,,,,,
junior architect,https://jobs.bdjobs.com/jobdetails.asp?id=1125705&fcatId=-1&ln=1,Srishty Architecture & Consultancy,Anywhere in Bangladesh,At least 1 year(s),Diploma in Architecture,2023,,,BD Jobs,,,,,,
sr. executive sales & marketing,https://jobs.bdjobs.com/jobdetails.asp?id=1125679&fcatId=-1&ln=1,Conquest Impex,Dhaka,At least 2 year(s),Bachelor degree in any discipline,2023,,,BD Jobs,,,,,,
international call center officer (night shift),https://jobs.bdjobs.com/jobdetails.asp?id=1125698&fcatId=-1&ln=1,Ess Global Tech,"Dhaka, Uttara",At least 1 year(s),Bachelor degree in any discipline,2023,,,BD Jobs,,,,,,
assistant manager (marketing),https://jobs.bdjobs.com/jobdetails.asp?id=1125681&fcatId=-1&ln=1,Trade Design Solutions Ltd.,Banani,3 to 5 year(s),Bachelor degree in any discipline,2023,,,BD Jobs,,,,,,
sales & marketing executive (b2b),https://jobs.bdjobs.com/jobdetails.asp?id=1125667&fcatId=-1&ln=1,Conquest Impex,Dhaka,At least 1 year(s),Bachelor degree in any discipline,2023,,,BD Jobs,,,,,,
quality control manager (knit & woven garments),https://jobs.bdjobs.com/jobdetails.asp?id=1125670&fcatId=-1&ln=1,A 100% Export Oriented Knit Composite Company,Gazipur,6 to 10 year(s),Minimum University Graduation.,2023,,,BD Jobs,,,,,,
production manager - woven,https://jobs.bdjobs.com/jobdetails.asp?id=1125599&fcatId=-1&ln=1,A 100% Export Oriented Knit Composite Company,Gazipur,6 to 10 year(s),Minimum University graduation from any Reputed University.,2023,,,BD Jobs,,,,,,
executive - sales & support,https://jobs.bdjobs.com/jobdetails.asp?id=1125684&fcatId=-1&ln=1,Herok Trade International,Tongi,At least 1 year(s),HSC,2023,,,BD Jobs,,,,,,
architect / interior architect,https://jobs.bdjobs.com/jobdetails.asp?id=1125604&fcatId=-1&ln=1,Scape Development Engineers,Dhaka,3 to 5 year(s),Bachelor of Architecture (B.Arch),2023,,,BD Jobs,,,,,,
fire and safety engineer,https://jobs.bdjobs.com/jobdetails.asp?id=1125687&fcatId=-1&ln=1,Dbl Group,Gazipur,At least 3 year(s),BSc in EEE from any reputed University,2023,,,BD Jobs,,,,,,
office admin,https://jobs.bdjobs.com/jobdetails.asp?id=1125408&fcatId=-1&ln=3,Limestone Academy,Mirpur,Na,Bachelor degree in any discipline,2023,,,BD Jobs,,,,,,
"sr. software engineer (full-stack developer, laravel, react.js/vue js)",https://jobs.bdjobs.com/jobdetails.asp?id=1125677&fcatId=-1&ln=1,Igl Group,Dhaka,1 to 3 year(s),Diploma in Computer in Computer Science & Engineering,2023,,,BD Jobs,,,,,,
sales supervisor,https://jobs.bdjobs.com/jobdetails.asp?id=1125991&fcatId=-1&ln=1,Prince Supershop Ltd.,Mirpur,5 to 7 year(s),Bachelor degree in any discipline,2023,,,BD Jobs,,,,,,
it in-charge,https://jobs.bdjobs.com/jobdetails.asp?id=1125988&fcatId=-1&ln=1,Prince Supershop Ltd.,Mirpur,5 to 7 year(s),"Bachelor of Science (BSc) in CSE, Bachelor of Science (BSc) in Information ...",2023,,,BD Jobs,,,,,,
store in-charge,https://jobs.bdjobs.com/jobdetails.asp?id=1125982&fcatId=-1&ln=1,Prince Supershop Ltd.,Mirpur,5 to 7 year(s),Bachelor degree in any discipline.,2023,,,BD Jobs,,,,,,
assistant manager - accounts (head office),https://jobs.bdjobs.com/jobdetails.asp?id=1125981&fcatId=-1&ln=1,Roshawa Group,Banani,At least 6 year(s),Bachelor of Commerce (BCom),2023,,,BD Jobs,,,,,,
accountant-finance,https://jobs.bdjobs.com/jobdetails.asp?id=1125911&fcatId=-1&ln=1,Gesinha Outdoor Ltd.,"Chattogram, Chittagong Epz",3 to 4 year(s),Bachelor`s degree in accounting or related field,2023,,,BD Jobs,,,,,,
senior hr,https://jobs.bdjobs.com/jobdetails.asp?id=1125913&fcatId=-1&ln=1,Gesinha Outdoor Ltd.,Chittagong Epz,At least 3 year(s),Working experience in garment factory,2023,,,BD Jobs,,,,,,
fabric market sales,https://jobs.bdjobs.com/jobdetails.asp?id=1124696&fcatId=-1&ln=1,Lavender Garment Limited,Uttara,Na,Unknown,2023,,,BD Jobs,,,,,,
"executive, transport management",https://jobs.bdjobs.com/jobdetails.asp?id=1125898&fcatId=-1&ln=1,Olila Glass Industries Ltd.,Dhaka,3 to 5 year(s),Bachelor degree in any discipline,2023,,,BD Jobs,,,,,,
android developer,https://jobs.bdjobs.com/jobdetails.asp?id=1125959&fcatId=-1&ln=1,Healthcare Information System Limited,Dhaka,At least 3 year(s),Unknown,2023,,,BD Jobs,,,,,,
general manager,https://jobs.bdjobs.com/jobdetails.asp?id=1125603&fcatId=-1&ln=1,Unity Group,Anywhere in Bangladesh,3 to 5 year(s),Master of Business Administration (MBA),2023,,,BD Jobs,,,,,,
brand manager,https://jobs.bdjobs.com/jobdetails.asp?id=1125951&fcatId=-1&ln=1,Renowned Multinational Stationary Company,Dhaka,Na,MBA in marketing or a in related Field.,2023,,,BD Jobs,,,,,,
visa counselor (female),https://jobs.bdjobs.com/jobdetails.asp?id=1125941&fcatId=-1&ln=1,World Consultant & Travels Ltd.,Dhaka,2 to 5 year(s),Graduation from a reputed university will get preference,2023,,,BD Jobs,,,,,,
"medical technologist (lab, x-ray)",https://jobs.bdjobs.com/jobdetails.asp?id=1125939&fcatId=-1&ln=3,Unique Hospital,Savar,At least 1 year(s),"Diploma in Medical Technology (Lab, X-ray).",2023,,,BD Jobs,,,,,,
nutritionist/ dietician,https://jobs.bdjobs.com/jobdetails.asp?id=1125910&fcatId=-1&ln=1,Ashulia Women And Children Hospital,Ashulia,3 to 4 year(s),Master/Bachelor`s degree in Food and Nutrition Science (Mandatory),2023,,,BD Jobs,,,,,,
planning senior manager - woven,https://jobs.bdjobs.com/jobdetails.asp?id=1125894&fcatId=-1&ln=1,A 100% Export Oriented Knit Composite Company,Gazipur,6 to 10 year(s),Bachelor`s Degree from any reputed university.,2023,,,BD Jobs,,,,,,
project engineer (civil),https://jobs.bdjobs.com/jobdetails.asp?id=1125875&fcatId=-1&ln=1,Rahana & Julia House,Gulshan,At least 6 year(s),Bachelor of Science (BSc) in Civil Engineering,2023,,,BD Jobs,,,,,,
senior executive,https://jobs.bdjobs.com/jobdetails.asp?id=1125903&fcatId=-1&ln=1,Shaurov Publishers & Distributors,Anywhere in Bangladesh,At least 2 year(s),Graduate/ Post Graduate from UGC approved University in any Discipline with obtained CGPA Adobe 2.5,2023,,,BD Jobs,,,,,,
senior quality assurance officer (denim),https://jobs.bdjobs.com/jobdetails.asp?id=1125906&fcatId=-1&ln=1,Eco Sourcing Limited,Dhaka,At least 8 year(s),Minimum Graduate.,2023,,,BD Jobs,,,,,,
senior wash technician (denim),https://jobs.bdjobs.com/jobdetails.asp?id=1125891&fcatId=-1&ln=1,Eco Sourcing Limited,Dhaka,At least 8 year(s),Minimum Graduate.,2023,,,BD Jobs,,,,,,
management trainee,https://jobs.bdjobs.com/jobdetails.asp?id=1125880&fcatId=-1&ln=1,Rider Leather Bags & Luggage Factory Ltd,Ashuganj,Na,Graduate/Masters in any discipline. BBA/MBA & Bachelor of Science (BSc) in Textile Technology will ...,2023,,,BD Jobs,,,,,,
national sales manager/head of sales,https://jobs.bdjobs.com/jobdetails.asp?id=1125889&fcatId=-1&ln=1,Care Nutrition Limited,Anywhere in Bangladesh,8 to 10 year(s),Graduate from a reputed university. Business graduates are preferred.,2023,,,BD Jobs,,,,,,
"junior executive / executive, customer care",https://jobs.bdjobs.com/jobdetails.asp?id=1125780&fcatId=-1&ln=1,Persona Beauty Care Ltd.,Dhaka,1 to 2 year(s),Masters in any discipline from any reputed university,2023,,,BD Jobs,,,,,,
asst. manager - finance &  accounts,https://jobs.bdjobs.com/jobdetails.asp?id=1125771&fcatId=-1&ln=1,Satori Ltd.,Anywhere in Bangladesh,3 to 5 year(s),Master of Commerce (MCom) / Bachelor of Commerce (BCom) in Accounting,2023,,,BD Jobs,,,,,,
lecturer in business administration,https://jobs.bdjobs.com/jobdetails.asp?id=1125874&fcatId=-1&ln=1,Aims Academy  (An Institute Of Aims English Pvt. Ltd.),Chattogram,Na,"BBA and MBA major in Accounting, Marketing, HRM, Management, Finance & Banking, MIS, Tourism & ...",2023,,,BD Jobs,,,,,,
branch incharge,https://jobs.bdjobs.com/jobdetails.asp?id=1125768&fcatId=-1&ln=1,Satori Ltd.,"Gulshan, Banani",3 to 5 year(s),Bachelor/Masters in any discipline from any reputed university,2023,,,BD Jobs,,,,,,
hr intern,https://jobs.bdjobs.com/jobdetails.asp?id=1125876&fcatId=-1&ln=1,Saic Group,Mirpur,Na,Bachelor of Business Administration (BBA) in HRM or Bachelor of Business Studies (BBS) in ...,2023,,,BD Jobs,,,,,,
"executive, sales & marketing (male/female)",https://jobs.bdjobs.com/jobdetails.asp?id=1125872&fcatId=-1&ln=3,Macro Line,Dhaka,Na,Minimum S.S.C,2023,,,BD Jobs,,,,,,
kitchen staff,https://jobs.bdjobs.com/jobdetails.asp?id=1125023&fcatId=-1&ln=3,Eh Recruits,Anywhere in Bangladesh,1 to 3 year(s),HSC,2023,,,BD Jobs,,,,,,
planning senior manager - washing,https://jobs.bdjobs.com/jobdetails.asp?id=1125859&fcatId=-1&ln=1,A 100% Export Oriented Knit Composite Company,Gazipur,6 to 10 year(s),Bachelor`s degree in a relevant field such as Industrial Engineering or Operations Management,2023,,,BD Jobs,,,,,,
planning senior manager - fabric,https://jobs.bdjobs.com/jobdetails.asp?id=1125834&fcatId=-1&ln=1,A 100% Export Oriented Knit Composite Company,Gazipur,6 to 10 year(s),"Bachelor`s degree in Textiles, Fashion Design or in related field",2023,,,BD Jobs,,,,,,
internal audit assistant,https://jobs.bdjobs.com/jobdetails.asp?id=1125857&fcatId=-1&ln=1,Naturub Accessories Bangladesh (Pvt). Ltd.,Chattogram,At least 2 year(s),MBA/Master Degree from a reputed University.,2023,,,BD Jobs,,,,,,
???????? (???????? ???),https://jobs.bdjobs.com/jobdetails.asp?id=1125838&fcatId=-1&ln=2,Desig-Naa,?????????? ?????? ??????,5 to 10 year(s),Unknown,2023,,,BD Jobs,,,,,,
"executive, accounts & inventory",https://jobs.bdjobs.com/jobdetails.asp?id=1125241&fcatId=-1&ln=1,Alphatek Engineering Limited,Demra,At least 2 year(s),BBA / Business Graduate from Any Public University,2023,,,BD Jobs,,,,,,
asst. manager/ manager - finishing,https://jobs.bdjobs.com/jobdetails.asp?id=1125854&fcatId=-1&ln=1,Fakir Apparels Ltd.,Narayanganj,At least 8 year(s),Bachelor degree in any discipline,2023,,,BD Jobs,,,,,,
project engineer / site engineer (civil),https://jobs.bdjobs.com/jobdetails.asp?id=1125774&fcatId=-1&ln=1,Kunjo Developers Ltd.,Dhaka,4 to 7 year(s),B.Sc./ Diploma in Civil Engineering from any recognized institute.,2023,,,BD Jobs,,,,,,
sales associate,https://jobs.bdjobs.com/jobdetails.asp?id=1125846&fcatId=-1&ln=1,Yoyoso Bd,Banani,Na,HSC,2023,,,BD Jobs,,,,,,
"manager - hr, admin & compliance",https://jobs.bdjobs.com/jobdetails.asp?id=1125842&fcatId=-1&ln=1,Fakir Apparels Ltd.,Narayanganj,At least 10 year(s),Masters in any discipline from a reputed University,2023,,,BD Jobs,,,,,,
"dgm, administration (security head)",https://jobs.bdjobs.com/jobdetails.asp?id=1125824&fcatId=-1&ln=1,Building Technology & Ideas Ltd.,Dhaka,At least 10 year(s),Minimum graduate in any discipline from reputed university,2023,,,BD Jobs,,,,,,
manager/ assistant manager - sales (rhel- rupayan bhuiyan emporium),https://jobs.bdjobs.com/jobdetails.asp?id=1125822&fcatId=-1&ln=1,Rupayan Group,Ashulia,At least 5 year(s),Masters degree in any discipline,2023,,,BD Jobs,,,,,,
business development executive,https://jobs.bdjobs.com/jobdetails.asp?id=1125746&fcatId=-1&ln=1,Iota Consulting Bd,Dhaka,2 to 4 year(s),"Bachelor in Engineering (BEngg) in Mechanical,CSE,EEE",2023,,,BD Jobs,,,,,,
medical coordinator (doctor),https://jobs.bdjobs.com/jobdetails.asp?id=1133003&fcatId=-1&ln=1,Bangkok Hospital,Thailand,At least 2 year(s),MBBS,2023,,,BD Jobs,,,,,,
cleaning supervisor,https://jobs.bdjobs.com/jobdetails.asp?id=1132973&fcatId=-1&ln=1,Nassa Group,Dhaka,At least 4 year(s),Minimum HSC.,2023,,,BD Jobs,,,,,,
junior c++ programmer,https://jobs.bdjobs.com/jobdetails.asp?id=1133005&fcatId=-1&ln=1,Bdgame Studio,Banani,Na,Diploma in Computer,2023,,,BD Jobs,,,,,,
assistant merchandiser (knit garments),https://jobs.bdjobs.com/jobdetails.asp?id=1132999&fcatId=-1&ln=1,Masco Group,Tongi,At least 2 year(s),B.Sc in Textile Engineering from any reputed textile institution.,2023,,,BD Jobs,,,,,,
office asst./coordinator-travel and logistics,https://jobs.bdjobs.com/jobdetails.asp?id=1132829&fcatId=-1&ln=1,Asian University For Women (Auw),"Chattogram, Chattogram Sadar",At least 3 year(s),Unknown,2023,,,BD Jobs,,,,,,
administrative officer,https://jobs.bdjobs.com/jobdetails.asp?id=1132998&fcatId=-1&ln=1,Gist Group,Dhaka,At least 1 year(s),BBA/ MBA/Bachelors Degree,2023,,,BD Jobs,,,,,,
