Job Title,Description Link,Company Name,Location,Experience ,Education Qualification,Year,Deadline,Date Posted,Source,location,desc,Company name,Deadline ,Job Type,Salary Amount
collection executive (bank or finance debt collection),https://jobs.bdjobs.com/jobdetails.asp?id=1133024&fcatId=-1&ln=1,Msi Credit & Collection Service Ltd.,Dhaka,1 to 3 year(s),Bachelor degree in any discipline.,2023,,,BD Jobs,,,,,,
computer operator,https://jobs.bdjobs.com/jobdetails.asp?id=1133018&fcatId=-1&ln=1,Multibrand Workshop Ltd.,Dhaka,Na,HSC / Graduation in any Discipline,2023,,,BD Jobs,,,,,,
"sub asst. engineer/ executive (automobile), transport",https://jobs.bdjobs.com/jobdetails.asp?id=1133020&fcatId=-1&ln=1,Bashundhara Group,Anywhere in Bangladesh,1 to 2 year(s),Diploma in Automobile Engineering from any reputed institution/Graduation in any discipline.,2023,,,BD Jobs,,,,,,
?????? ??????,https://jobs.bdjobs.com/jobdetails.asp?id=1132976&fcatId=-1&ln=2,??????? ???? ??????? ???? ????????,????????? ???,At least 2 year(s),????????? ????? ??????/ ????????????,2023,,,BD Jobs,,,,,,
brand promoter/ sales representatives,https://jobs.bdjobs.com/jobdetails.asp?id=1132659&fcatId=-1&ln=1,Bangladesh Bazar,Khulna,Na,SSC,2023,,,BD Jobs,,,,,,
???????,https://jobs.bdjobs.com/jobdetails.asp?id=1133016&fcatId=-1&ln=2,Dressmen,???????,Na,"??????? ??, ??, ??",2023,,,BD Jobs,,,,,,
sales executive,https://jobs.bdjobs.com/jobdetails.asp?id=1132894&fcatId=-1&ln=1,Commjuncture,Dhaka,At least 5 year(s),Bachelor of Business Administration (BBA),2023,,,BD Jobs,,,,,,
web developer required (laravel/reactjs),https://jobs.bdjobs.com/jobdetails.asp?id=1133014&fcatId=-1&ln=1,Ether Technologies Limited,Anywhere in Bangladesh,1 to 3 year(s),Unknown,2023,,,BD Jobs,,,,,,
tele (sales & marketing) executive/ representative (night shift),https://jobs.bdjobs.com/jobdetails.asp?id=1133010&fcatId=-1&ln=1,Kaizen Tech,Mohammadpur,At least 2 year(s),"A Level, O Level, bachelor`s degree in any Marketing and Sales, bachelor`s degree in any discipline",2023,,,BD Jobs,,,,,,
phonics instructors for kids (jolly phonics),https://jobs.bdjobs.com/jobdetails.asp?id=1132912&fcatId=-1&ln=1,Mojaru Education Technologies Limited,Anywhere in Bangladesh,Na,Master of Arts (MA) in English Language Teaching(ELT),2023,,,BD Jobs,,,,,,
????? ????????,https://jobs.bdjobs.com/jobdetails.asp?id=1132896&fcatId=-1&ln=2,"Fuzhou Guiguan Electric Power Development Co.,Ltd",????,At least 2 year(s),Unknown,2023,,,BD Jobs,,,,,,
"resort manager - operation (fkc resort - fantasy kingdom complex, ashulia, savar)",https://jobs.bdjobs.com/jobdetails.asp?id=1133007&fcatId=-1&ln=1,Concord Group,Savar,1 to 5 year(s),The ideal candidate must have Graduation from any reputed educational Institution preferably in ...,2023,,,BD Jobs,,,,,,
financial expert,https://jobs.bdjobs.com/jobdetails.asp?id=1133000&fcatId=-1&ln=1,Shahidul Consultant Limited (Scl),Dhaka,At least 7 year(s),MBA in Finance or MSS in Economics from reputed university. MBA/BBA from IBA of Dhaka University ...,2023,,,BD Jobs,,,,,,
quality manager,https://jobs.bdjobs.com/jobdetails.asp?id=1133006&fcatId=-1&ln=1,Winclass Imports Inc.,Dhaka,3 to 5 year(s),Minimum Graduate/Bachelor`s degree in any discipline,2023,,,BD Jobs,,,,,,
merchandiser / senior merchandiser,https://jobs.bdjobs.com/jobdetails.asp?id=1133001&fcatId=-1&ln=1,Winclass Imports Inc.,Dhaka,At most 12 year(s),Minimum Graduate/Bachelor`s degree in any discipline,2023,,,BD Jobs,,,,,,
a.s.m/r.s.m,https://jobs.bdjobs.com/jobdetails.asp?id=1132519&fcatId=-1&ln=1,J&S Agricare,Sherpur Sadar,3 to 5 year(s),Bachelor degree in any discipline,2023,,,BD Jobs,,,,,,
customer service representative,https://jobs.bdjobs.com/jobdetails.asp?id=1130799&fcatId=-1&ln=1,Dxsale,Dhaka,Na,Unknown,2023,,,BD Jobs,,,,,,
????? ????????? (z.m),https://jobs.bdjobs.com/jobdetails.asp?id=1132649&fcatId=-1&ln=2,Refine Homoeo Laboratory,?????????? ?????? ??????,1 to 2 year(s),??????/???????????,2023,,,BD Jobs,,,,,,
lab attendant (computer lab),https://jobs.bdjobs.com/jobdetails.asp?id=1132581&fcatId=-1&ln=1,Southeast University,Dhaka,Na,SSC with Science/ Equivalent to SSC with CGPA 2.00.,2023,,,BD Jobs,,,,,,
lab assistant (eee lab),https://jobs.bdjobs.com/jobdetails.asp?id=1120645&fcatId=-1&ln=1,Southeast University,Dhaka,At least 1 year(s),Diploma or higher degree in EEE background.,2023,,,BD Jobs,,,,,,
lab assistant (yarn mfg technology lab),https://jobs.bdjobs.com/jobdetails.asp?id=1120643&fcatId=-1&ln=1,Southeast University,Dhaka,Na,Diploma in Textiles.,2023,,,BD Jobs,,,,,,
demonstrator (physics lab),https://jobs.bdjobs.com/jobdetails.asp?id=1120628&fcatId=-1&ln=1,Southeast University,Dhaka,At least 2 year(s),Master`s or equivalent degree in relevant discipline with minimum CGPA 2.75 in each attempted ...,2023,,,BD Jobs,,,,,,
site supervisor,https://jobs.bdjobs.com/jobdetails.asp?id=1132624&fcatId=-1&ln=1,Step  Media Limited,Anywhere in Bangladesh,1 to 4 year(s),Diploma in Architecture,2023,,,BD Jobs,,,,,,
workshop manager,https://jobs.bdjobs.com/jobdetails.asp?id=1131655&fcatId=-1&ln=1,Euro Car Solutionltd,Dhaka,At least 15 year(s),Diploma in Automobile,2023,,,BD Jobs,,,,,,
quality manager/ sr. manager - inspection & folding (zaber & zubair fabrics limited- home textile,https://jobs.bdjobs.com/jobdetails.asp?id=1132647&fcatId=-1&ln=1,Noman Group,Tongi,8 to 12 year(s),Bachelor of Arts (BA),2023,,,BD Jobs,,,,,,
????? ??????,https://jobs.bdjobs.com/jobdetails.asp?id=1132568&fcatId=-1&ln=2,Proutsh Sromobai Somity,????,Na,Unknown,2023,,,BD Jobs,,,,,,
general manager (sales & marketing),https://jobs.bdjobs.com/jobdetails.asp?id=1132532&fcatId=-1&ln=1,Swadesh Properties Ltd.,Anywhere in Bangladesh,15 to 22 year(s),Minimum Graduate/ BBA/MBA/MA or other studies in Marketing will be an advantage.,2023,,,BD Jobs,,,,,,
marketing officer,https://jobs.bdjobs.com/jobdetails.asp?id=1132506&fcatId=-1&ln=1,J&S Agrovet,Sherpur Sadar,At least 4 year(s),Bachelor degree in any discipline,2023,,,BD Jobs,,,,,,
digital marketer,https://jobs.bdjobs.com/jobdetails.asp?id=1132644&fcatId=-1&ln=1,Rokomari.Com,Motijheel,2 to 3 year(s),Bachelor degree in any discipline,2023,,,BD Jobs,,,,,,
executive - merchandising (production),https://jobs.bdjobs.com/jobdetails.asp?id=1132517&fcatId=-1&ln=1,Pearl Garments Manufacturing Limited,Savar,2 to 3 year(s),Bachelor of Science (BSc) in Textile Engineering,2023,,,BD Jobs,,,,,,
executive - merchandising (supply chain),https://jobs.bdjobs.com/jobdetails.asp?id=1132643&fcatId=-1&ln=1,Peral Garments Company Limited,Savar,2 to 3 year(s),Bachelor of Science (BSc) in Textile Engineering,2023,,,BD Jobs,,,,,,
sr. general manager (sales & marketing),https://jobs.bdjobs.com/jobdetails.asp?id=1132530&fcatId=-1&ln=1,Swadesh Properties Ltd.,Anywhere in Bangladesh,20 to 25 year(s),Minimum Graduate/ BBA/MBA/MA or other studies in Marketing will be an advantage.,2023,,,BD Jobs,,,,,,
executive director (sales & marketing),https://jobs.bdjobs.com/jobdetails.asp?id=1132527&fcatId=-1&ln=1,Swadesh Properties Ltd.,Anywhere in Bangladesh,20 to 25 year(s),Minimum Graduate/ BBA/MBA/MA or other studies in Marketing will be an advantage.,2023,,,BD Jobs,,,,,,
sales executive - chittagong shop,https://jobs.bdjobs.com/jobdetails.asp?id=1132632&fcatId=-1&ln=1,Gprojukti.Com Ltd,"Chattogram, Anwara, Chandgaon, Pekua, Khulshi, Halishahar",At most 2 year(s),HSC,2023,,,BD Jobs,,,,,,
sr. executive- recruitment,https://jobs.bdjobs.com/jobdetails.asp?id=1132633&fcatId=-1&ln=1,A Renowned Hr Outsourcing Firm,Dhaka,At least 3 year(s),Bachelors/ BBA/MBA preferred in HRM,2023,,,BD Jobs,,,,,,
chief financial officer (cfo),https://jobs.bdjobs.com/jobdetails.asp?id=1132636&fcatId=-1&ln=1,A Renowned Private Commercial Bank,Dhaka,At least 10 year(s),Master of Commerce (MCom),2023,,,BD Jobs,,,,,,
officer/sr. officer - talent acquisition,https://jobs.bdjobs.com/jobdetails.asp?id=1132605&fcatId=-1&ln=1,Akij Resources Limited,Dhaka,At least 2 year(s),BBA and MBA in HRM from reputed University.,2023,,,BD Jobs,,,,,,
senior manager - ie (industrial engineering),https://jobs.bdjobs.com/jobdetails.asp?id=1132641&fcatId=-1&ln=1,Fakir Fashion Ltd.,Narayanganj,10 to 12 year(s),B.Sc in IPE/ Textile Engineering,2023,,,BD Jobs,,,,,,
sr. manager/agm (engineer),https://jobs.bdjobs.com/jobdetails.asp?id=1132462&fcatId=-1&ln=1,Bay Power Technology Limited,Dhaka,At least 5 year(s),Bachelor in Engineering (BEngg) in EEE,2023,,,BD Jobs,,,,,,
sr. executive - finance & accounting,https://jobs.bdjobs.com/jobdetails.asp?id=1132635&fcatId=-1&ln=1,Intelligent Image Management Limited,Dhaka,2 to 3 year(s),Bachelor of Commerce (BCom),2023,,,BD Jobs,,,,,,
"bangladesh studies (history and geography) teacher, class 5-7",https://jobs.bdjobs.com/jobdetails.asp?id=1132629&fcatId=-1&ln=1,Sir John Wilson School,Dhaka,2 to 3 year(s),Bachelor degree (Masters preferred) in Bangladesh Studies (History and Geography),2023,,,BD Jobs,,,,,,
english teacher (5-7),https://jobs.bdjobs.com/jobdetails.asp?id=1132627&fcatId=-1&ln=1,Sir John Wilson School,Dhaka,2 to 3 year(s),Bachelor degree (Masters preferred) in English,2023,,,BD Jobs,,,,,,
